Gene ID (EcoCyc)	Gene locus ID	Gene name	RNA type	Category	Macklin et al. (2020)	Latest version (20220602)	Description	Belongs in metabolism	proposed category	reaction flux in sim?	enzyme present in sim?	general enzyme	Activity expected
EG12354	b0191	arfB	mRNA	Uncategorized	FALSE	TRUE							
EG10063	b2818	argA	mRNA	Metabolism	TRUE	TRUE							
EG10064	b3959	argB	mRNA	Metabolism	TRUE	TRUE							
EG10065	b3958	argC	mRNA	Metabolism	TRUE	TRUE							
EG10066	b3359	argD	mRNA	Metabolism	TRUE	TRUE							
EG11286	b3957	argE	mRNA	Metabolism	TRUE	TRUE							
EG10067	b0273	argF	mRNA	Metabolism	TRUE	TRUE							
EG10068	b3172	argG	mRNA	Metabolism	TRUE	TRUE							
EG11223	b3960	argH	mRNA	Metabolism	TRUE	TRUE							
EG10069	b4254	argI	mRNA	Metabolism	TRUE	TRUE							
EG11445	b2918	argK	mRNA	Unclear/under-characterized	FALSE	TRUE							
G0-17012	b4766	argL	mRNA	Uncategorized	FALSE	FALSE							
EG11159	b2923	argO	mRNA	Metabolism	FALSE	TRUE	arg transport	y					n
EG10490	b2916	argP	mRNA	Transcription regulation	TRUE	TRUE							
EG30013	b2691	argQ	tRNA	tRNA	FALSE	TRUE							
EG10070	b3237	argR	mRNA	Transcription regulation	TRUE	TRUE							
EG10071	b1876	argS	mRNA	tRNA synthetase	TRUE	TRUE							
EG10072	b2310	argT	mRNA	Metabolism	TRUE	TRUE							
EG30014	b0536	argU	tRNA	tRNA	FALSE	TRUE							
EG30015	b2694	argV	tRNA	tRNA	FALSE	TRUE							
EG30016	b2348	argW	tRNA	tRNA	FALSE	TRUE							
EG30017	b3796	argX	tRNA	tRNA	FALSE	TRUE							
EG30018	b2693	argY	tRNA	tRNA	FALSE	TRUE							
EG30019	b2692	argZ	tRNA	tRNA	FALSE	TRUE							
G6606	b1166	ariR	mRNA	Stress response	FALSE	FALSE							
G7168	b2255	arnA	mRNA	Metabolism	TRUE	TRUE							
G7166	b2253	arnB	mRNA	Metabolism	TRUE	TRUE							
G7167	b2254	arnC	mRNA	Metabolism	FALSE	TRUE	polymyxin res	m					n
G7169	b2256	arnD	mRNA	Metabolism	FALSE	TRUE	polymyxin res	m					n
G0-10460	b4544	arnE	mRNA	Metabolism	FALSE	TRUE	polymyxin res	m					n
G7171	b2258	arnF	mRNA	Metabolism	FALSE	TRUE	polymyxin res	m					n
G7170	b2257	arnT	mRNA	Metabolism	FALSE	TRUE	polymyxin res	m					n
EG10073	b0908	aroA	mRNA	Metabolism	TRUE	TRUE							
EG10074	b3389	aroB	mRNA	Metabolism	TRUE	TRUE							
EG10075	b2329	aroC	mRNA	Metabolism	TRUE	TRUE							
EG10076	b1693	aroD	mRNA	Metabolism	TRUE	TRUE							
EG10077	b3281	aroE	mRNA	Metabolism	TRUE	TRUE							
EG10078	b2601	aroF	mRNA	Metabolism	TRUE	TRUE							
EG10079	b0754	aroG	mRNA	Metabolism	TRUE	TRUE							
EG10080	b1704	aroH	mRNA	Metabolism	TRUE	TRUE							
EG10081	b3390	aroK	mRNA	Metabolism	TRUE	TRUE							
EG10082	b0388	aroL	mRNA	Metabolism	TRUE	TRUE							
EG10083	b0390	aroM	mRNA	Unknown function	FALSE	FALSE							
EG10084	b0112	aroP	mRNA	Metabolism	TRUE	TRUE							
EG11208	b4017	arpA	mRNA	Unknown function	FALSE	FALSE							
G6926	b1721	arpB	pseudo	Uncategorized	FALSE	FALSE							
G0-10694	b4704	arrS	miscRNA	Uncategorized	FALSE	FALSE							
EG12236	b3502	arsB	mRNA	Metabolism	TRUE	TRUE							
EG12237	b3503	arsC	mRNA	Metabolism	TRUE	TRUE							
EG12235	b3501	arsR	mRNA	Transcription regulation	FALSE	FALSE							
EG11625	b0863	artI	mRNA	Metabolism	FALSE	FALSE							
EG11628	b0860	artJ	mRNA	Metabolism	TRUE	TRUE							
EG11627	b0861	artM	mRNA	Metabolism	TRUE	TRUE							
EG11624	b0864	artP	mRNA	Metabolism	TRUE	TRUE							
EG11626	b0862	artQ	mRNA	Metabolism	TRUE	TRUE							
EG10085	b2716	ascB	mRNA	Unknown function	FALSE	TRUE							
EG10086	b2715	ascF	mRNA	Metabolism	FALSE	TRUE	pts rare carbon	y					c
EG10087	b2714	ascG	mRNA	Transcription regulation	FALSE	FALSE							
EG10088	b3433	asd	mRNA	Metabolism	TRUE	TRUE							
EG10089	b3801	aslA	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG10090	b3800	aslB	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG11361	b2064	asmA	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG10091	b3744	asnA	mRNA	Metabolism	TRUE	TRUE							
EG10092	b0674	asnB	mRNA	Metabolism	TRUE	TRUE							
EG10093	b3743	asnC	mRNA	Transcription regulation	FALSE	FALSE							
EG10094	b0930	asnS	mRNA	tRNA synthetase	TRUE	TRUE							
EG30020	b1977	asnT	tRNA	tRNA	FALSE	TRUE							
EG30021	b1986	asnU	tRNA	tRNA	FALSE	TRUE							
EG30022	b1989	asnV	tRNA	tRNA	FALSE	TRUE							
G7069	b1984	asnW	tRNA	tRNA	FALSE	TRUE							
EG10095	b4139	aspA	mRNA	Metabolism	TRUE	TRUE							
EG10096	b0928	aspC	mRNA	Metabolism	TRUE	TRUE							
EG10097	b1866	aspS	mRNA	tRNA synthetase	TRUE	TRUE							
EG30023	b3760	aspT	tRNA	tRNA	FALSE	TRUE							
EG30024	b0206	aspU	tRNA	tRNA	FALSE	TRUE							
EG30025	b0216	aspV	tRNA	tRNA	FALSE	TRUE							
G0-17100	b4825	aspX	miscRNA	Uncategorized	FALSE	FALSE							
G6855	b1597	asr	mRNA	Stress response	FALSE	FALSE							
G6943	b1747	astA	mRNA	Metabolism	TRUE	TRUE							
G6941	b1745	astB	mRNA	Metabolism	TRUE	TRUE							
G6944	b1748	astC	mRNA	Metabolism	TRUE	TRUE							
G6942	b1746	astD	mRNA	Metabolism	TRUE	TRUE							
G6940	b1744	astE	mRNA	Metabolism	TRUE	TRUE							
EG11670	b2222	atoA	mRNA	Metabolism	TRUE	TRUE							
EG11672	b2224	atoB	mRNA	Metabolism	TRUE	TRUE							
EG11668	b2220	atoC	mRNA	Transcription regulation	FALSE	FALSE							
EG11669	b2221	atoD	mRNA	Metabolism	TRUE	TRUE							
EG11671	b2223	atoE	mRNA	Metabolism	FALSE	TRUE	acetoacetate trans	y					c
EG11667	b2219	atoS	mRNA	Phosphorylation regulation	FALSE	FALSE							
EG10098	b3734	atpA	mRNA	Metabolism	TRUE	TRUE							
EG10099	b3738	atpB	mRNA	Metabolism	TRUE	TRUE							
EG10100	b3731	atpC	mRNA	Metabolism	TRUE	TRUE							
EG10101	b3732	atpD	mRNA	Metabolism	TRUE	TRUE							
EG10102	b3737	atpE	mRNA	Metabolism	TRUE	TRUE							
EG10103	b3736	atpF	mRNA	Metabolism	TRUE	TRUE							
EG10104	b3733	atpG	mRNA	Metabolism	TRUE	TRUE							
EG10105	b3735	atpH	mRNA	Metabolism	TRUE	TRUE							
EG10106	b3739	atpI	mRNA	Metabolism	FALSE	FALSE							
EG10107	b3572	avtA	mRNA	Metabolism	TRUE	TRUE							
G6731	b1412	azoR	mRNA	Stress response	TRUE	TRUE							
G0-10653	b4663	azuC	mRNA	Uncategorized	FALSE	FALSE							
G6089	b0100	b0100	phantom	Uncategorized	FALSE	FALSE							
G6090	b0105	b0105	phantom	Uncategorized	FALSE	FALSE							
G6091	b0165	b0165	phantom	Uncategorized	FALSE	FALSE							
G6179	b0309	b0309	phantom	Uncategorized	FALSE	FALSE							
G6388	b0725	b0725	phantom	Uncategorized	FALSE	FALSE							
G6553	b1052	b1052	phantom	Uncategorized	FALSE	FALSE							
G6687	b1364	b1364	phantom	Uncategorized	FALSE	FALSE							
G7149	b2191	b2191	phantom	Uncategorized	FALSE	FALSE							
G7386	b2651	b2651	phantom	Uncategorized	FALSE	FALSE							
G7692	b3254	b3254	phantom	Uncategorized	FALSE	FALSE							
G0-16677	b4700	b4700	phantom	Uncategorized	FALSE	FALSE							
EG11665	b3057	bacA	mRNA	Metabolism	FALSE	TRUE	cell wall synthesis	y					y
EG11618	b2079	baeR	mRNA	Transcription regulation	TRUE	TRUE							
EG11617	b2078	baeS	mRNA	Phosphorylation regulation	FALSE	FALSE							
G6093	b0177	bamA	mRNA	Protein maturation translocation	FALSE	FALSE							
G7320	b2512	bamB	mRNA	Cell structure membrane	FALSE	FALSE							
EG10658	b2477	bamC	mRNA	Antibiotic resistance	FALSE	FALSE							
G7352	b2595	bamD	mRNA	Cell structure membrane	FALSE	FALSE							
EG10952	b2617	bamE	mRNA	Cell structure membrane	FALSE	FALSE							
EG11367	b2786	barA	mRNA	Phosphorylation regulation	FALSE	FALSE							
EG11615	b4113	basR	mRNA	Transcription regulation	TRUE	TRUE							
EG11614	b4112	basS	mRNA	Phosphorylation regulation	FALSE	TRUE							
EG11360	b3570	bax	mRNA	Unknown function	FALSE	FALSE							
G0-17040	b4794	baxL	mRNA	Uncategorized	FALSE	FALSE							
EG10108	b2480	bcp	mRNA	Metabolism	FALSE	TRUE	thio redox, oxidative stress	m	generic reactions will have to be tackled in a smart way			x	n
EG11419	b2182	bcr	mRNA	Antibiotic resistance	FALSE	TRUE							
EG12260	b3533	bcsA	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG12259	b3532	bcsB	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG12257	b3530	bcsC	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG12263	b3536	bcsE	mRNA	Unknown function	FALSE	FALSE							
EG12264	b3537	bcsF	mRNA	Unknown function	FALSE	FALSE							
EG12265	b3538	bcsG	mRNA	Unknown function	FALSE	TRUE							
EG12261	b3534	bcsQ	pseudo	Uncategorized	FALSE	FALSE							
EG12258	b3531	bcsZ	mRNA	Metabolism	FALSE	FALSE							
G7880	b4249	bdcA	mRNA	Unknown function	FALSE	FALSE							
G7882	b4251	bdcR	mRNA	Unknown function	FALSE	FALSE							
G6776	b1481	bdm	mRNA	Unclear/under-characterized	FALSE	FALSE							
G6595	b1151	beeE	mRNA	Uncategorized	FALSE	FALSE							
G7311	b2494	bepA	mRNA	Unclear/under-characterized	FALSE	TRUE							
EG10109	b0311	betA	mRNA	Metabolism	TRUE	TRUE							
EG10110	b0312	betB	mRNA	Metabolism	TRUE	TRUE							
EG10111	b0313	betI	mRNA	Transcription regulation	FALSE	FALSE							
EG10112	b0314	betT	mRNA	Metabolism	TRUE	TRUE							
EG11181	b3337	bfd	mRNA	Iron storage protein	FALSE	FALSE							
EG10113	b3336	bfr	mRNA	Iron storage protein	FALSE	FALSE							
G495	b2901	bglA	mRNA	Metabolism	FALSE	TRUE	glucosidase, more evidence needed	m					y
EG10114	b3721	bglB	mRNA	Metabolism	FALSE	TRUE	glucosidase, more evidence needed	m					y
EG10115	b3722	bglF	mRNA	Metabolism	TRUE	TRUE							
EG10116	b3723	bglG	mRNA	Transcription anti-termination	FALSE	FALSE							
EG11364	b3720	bglH	mRNA	Metabolism	FALSE	FALSE							
G7948	b4366	bglJ	mRNA	Transcription regulation	TRUE	TRUE							
EG12013	b2132	bglX	mRNA	Metabolism	FALSE	TRUE	glucosidase, more evidence needed	m					y
G6570	b1112	bhsA	mRNA	Stress response	FALSE	FALSE							
G0-17107	b4832	bhsB	miscRNA	Uncategorized	FALSE	FALSE							
G6851	b1593	bidA	mRNA	Unknown function	FALSE	TRUE							
EG10117	b0774	bioA	mRNA	Metabolism	TRUE	TRUE							
EG10118	b0775	bioB	mRNA	Metabolism	TRUE	TRUE							
EG10119	b0777	bioC	mRNA	Metabolism	TRUE	TRUE							
EG10120	b0778	bioD	mRNA	Metabolism	TRUE	TRUE							
EG10121	b0776	bioF	mRNA	Metabolism	TRUE	TRUE							
EG10122	b3412	bioH	mRNA	Metabolism	TRUE	TRUE							
EG11471	b3827	bioP	mRNA	Unknown function	FALSE	TRUE							
EG11837	b3871	bipA	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG10123	b3973	birA	mRNA	Transcription regulation	TRUE	TRUE							
EG10124	b3551	bisC	mRNA	Metabolism	TRUE	TRUE							
G7837	b4149	blc	mRNA	Unknown function	FALSE	FALSE							
G0-9561	b4409	blr	mRNA	Antibiotic resistance	FALSE	FALSE							
G6603	b1163	bluF	mRNA	Stress response	FALSE	FALSE							
G6602	b1162	bluR	mRNA	Transcription regulation	FALSE	FALSE							
EG10125	b0435	bolA	mRNA	Transcription regulation	FALSE	FALSE							
G6312	b0557	borD	mRNA	Cell structure membrane	FALSE	FALSE							
EG12168	b0401	brnQ	mRNA	Uncategorized	TRUE	TRUE							
G7852	b4189	bsmA	mRNA	Unclear/under-characterized	FALSE	FALSE							
G6436	b0836	bssR	mRNA	Unclear/under-characterized	FALSE	FALSE							
G6557	b1060	bssS	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG12006	b2125	btsR	mRNA	Antibiotic resistance	FALSE	FALSE							
EG12007	b2126	btsS	mRNA	Unknown function	FALSE	FALSE							
G7942	b4354	btsT	mRNA	Unknown function	FALSE	TRUE							
EG10126	b3966	btuB	mRNA	Metabolism	FALSE	TRUE	vit b uptake	y					c
EG10127	b1711	btuC	mRNA	Metabolism	FALSE	TRUE	vit b uptake	y					c
EG10128	b1709	btuD	mRNA	Metabolism	FALSE	TRUE	vit b uptake	y					c
EG10129	b1710	btuE	mRNA	Metabolism	TRUE	TRUE							
EG12334	b0158	btuF	mRNA	Uncategorized	FALSE	TRUE							
EG10130	b1270	btuR	mRNA	Metabolism	FALSE	TRUE	vit b uptake	y					c
G0-8896		C0067	phantom	Uncategorized	FALSE	FALSE							
G0-8897	b4806	C0293	miscRNA	Uncategorized	FALSE	FALSE							
G0-8898		C0299	phantom	Uncategorized	FALSE	FALSE							
G0-8902		C0362	phantom	Uncategorized	FALSE	FALSE							
G0-8903		C0465	phantom	Uncategorized	FALSE	FALSE							
G0-8907		C0614	phantom	Uncategorized	FALSE	FALSE							
G0-8911		C0664	phantom	Uncategorized	FALSE	FALSE							
G0-8912		C0719	phantom	Uncategorized	FALSE	FALSE							
EG10131	b4131	cadA	mRNA	Metabolism	TRUE	TRUE							
EG10132	b4132	cadB	mRNA	Metabolism	TRUE	TRUE							
EG10133	b4133	cadC	mRNA	Transcription regulation	FALSE	FALSE							
EG11560	b0039	caiA	mRNA	Metabolism	FALSE	TRUE	carnitine metabolism	y					c
EG11559	b0038	caiB	mRNA	Metabolism	FALSE	TRUE	carnitine metabolism	y					c
EG11558	b0037	caiC	mRNA	Metabolism	FALSE	TRUE	carnitine metabolism	y					c
EG11557	b0036	caiD	mRNA	Metabolism	FALSE	TRUE	carnitine metabolism	y					c
EG12608	b0035	caiE	mRNA	Uncategorized	FALSE	FALSE							
G6088	b0034	caiF	mRNA	Transcription regulation	FALSE	FALSE							
EG11561	b0040	caiT	mRNA	Metabolism	FALSE	TRUE	carnitine metabolism	y					c
EG12319	b0126	can	mRNA	Uncategorized	TRUE	TRUE							
EG10134	b0032	carA	mRNA	Metabolism	TRUE	TRUE							
EG10135	b0033	carB	mRNA	Metabolism	TRUE	TRUE							
G7425	b2755	cas1	mRNA	Immunity	FALSE	FALSE							
EG12845	b2754	cas2	mRNA	Unclear/under-characterized	FALSE	FALSE							
EG12634	b2761	cas3	mRNA	Immunity	FALSE	FALSE							
G7430	b2760	casA	mRNA	Immunity	FALSE	FALSE							
G7429	b2759	casB	mRNA	Immunity	FALSE	FALSE							
G7428	b2758	casC	mRNA	Immunity	FALSE	FALSE							
G7427	b2757	casD	mRNA	Immunity	FALSE	FALSE							
G7426	b2756	casE	mRNA	Immunity	FALSE	FALSE							
G7084	b2004	cbeA	mRNA	Unclear/under-characterized	FALSE	FALSE							
G7071	b1987	cbl	mRNA	Transcription regulation	FALSE	FALSE							
EG12193	b1000	cbpA	mRNA	Uncategorized	FALSE	FALSE							
EG12194	b0999	cbpM	mRNA	Uncategorized	FALSE	FALSE							
EG11714	b3690	cbrA	mRNA	Unknown function	FALSE	FALSE							
EG11726	b3716	cbrB	mRNA	Unknown function	FALSE	FALSE							
EG11727	b3717	cbrC	mRNA	Antibiotic resistance	FALSE	FALSE							
G7085	b2005	cbtA	mRNA	Toxin/antitoxin	FALSE	FALSE							
EG10136	b3056	cca	mRNA	tRNA modification	FALSE	FALSE							
EG12059	b2201	ccmA	mRNA	Metabolism	FALSE	TRUE	t1 cyt c gen	m					y
EG12058	b2200	ccmB	mRNA	Metabolism	FALSE	TRUE	t1 cyt c gen	m					y
EG12057	b2199	ccmC	mRNA	Metabolism	FALSE	TRUE	t1 cyt c gen	m					y
