"",data
RIB5PISOM-RXN (reverse),1.124000e+05
RIBOFLAVIN-SYN-RXN,1.290000e+02
RIBOFLAVINKIN-RXN,1.190000e+02
RIBOFLAVINSYNDEAM-RXN,1.290000e+02
RIBOFLAVINSYNREDUC-RXN (reverse),1.290000e+02
RIBOPHOSPHAT-RXN,1.290000e+02
RIBOSYLHOMOCYSTEINASE-RXN,1071.000000
RIBULP3EPIM-RXN (reverse),42595.000000
RXN-10814 (reverse),23505.000000
RXN-11032 (reverse),201.000000
RXN-11319,49.000000
RXN-11475,10.000000
RXN-11484,10.000000
RXN-11832,90785.000000
RXN-12002,48258.000000
RXN-12588,10.000000
RXN-12611,49.000000
RXN-13158,56297.000000
RXN-13163 (reverse),56297.000000
RXN-13179,49.000000
RXN-13202,79143.000000
RXN-13403,54.000000
RXN-14014-DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE/NAD/WATER//CPD-14443/NADH/PROTON.70. (reverse),48126.000000
RXN-14025[CCO-CYTOSOL]-UMP/WATER//URIDINE/Pi.35.,1114.000000
RXN-14026[CCO-CYTOSOL]-CMP/WATER//CYTIDINE/Pi.36.,1.000000
RXN-14047,481759.977313
RXN-14325,1.487900e+04
RXN-15216,1.071000e+03
RXN-15878 (reverse),4.739100e+04
RXN-15943 (reverse),1.071000e+03
RXN-16804,3.886000e+03
RXN-17900,1.324200e+04
RXN-19329 (reverse),2.755000e+03
RXN-19737,1.943000e+03
RXN-21483-PROTOPORPHYRINOGEN/UBIQUINONE-8//PROTOPORPHYRIN_IX/CPD-9956.60.,5.400000e+01
RXN-21817-CPD-9956/PROTON/OXYGEN-MOLECULE//UBIQUINONE-8/PROTON/WATER.59.,1.288717e+06
RXN-6081,2.010000e+02
RXN-6161,8.080700e+04
RXN-8001,1.323600e+04
RXN-8992,4.060000e+02
RXN-8999,4.013000e+03
RXN-9310,1.060000e+02
RXN-9311,1.060000e+02
RXN-9772,1.413000e+03
RXN-9952,7.407000e+04
RXN0-12,8.900000e+01
RXN0-1461,54.0
RXN0-16,181.0
RXN0-2421,1878.0
RXN0-2501,686.0
RXN0-268 (reverse),83124.0
RXN0-302,47391.0
RXN0-305,750.0
RXN0-310,3.0
RXN0-313 (reverse),1455.0
RXN0-4301,7772.0
RXN0-4341,7772.0
RXN0-4342,7772.0
RXN0-4361,7772.0
RXN0-5038,1.0
RXN0-5061,1943.0
RXN0-5114[CCO-CYTOSOL]-3-P-SERINE/WATER//SER/Pi.38.,222527.0
RXN0-5118,1943.0
RXN0-5120,1943.0
RXN0-5121,1943.0
RXN0-5122,1943.0
RXN0-5123,1943.0
RXN0-5124,1943.0
RXN0-5125,1943.0
RXN0-5126,1943.0
RXN0-5127,1943.0
RXN0-5185[CCO-CYTOSOL]-CPD-2961/WATER//GLUCONATE/Pi.42.,21.0
RXN0-5186,169011.0
RXN0-5224 (reverse),974624.0
RXN0-5289 (reverse),750.0
RXN0-5461,1071.0
RXN0-6550,118.0
RXN0-6562,750.0
RXN0-7352,51.0
RXN0-742,43909.0
RXN0-743,43909.0
RXN0-884 (reverse),4419.0
RXN3O-470-ACETALD//CPD-255.17. (reverse),201.0
S-ADENMETSYN-RXN,2934.0
SAICARSYN-RXN,43909.0
SAMDECARB-RXN,1638.0
SHIKIMATE-5-DEHYDROGENASE-RXN (reverse),50584.000000
SHIKIMATE-KINASE-RXN,50577.000000
SIROHEME-FERROCHELAT-RXN,54.000000
SPERMIDINESYN-RXN,1638.000000
SPONTPRO-RXN (reverse),25565.000000
SUCCCOASYN-RXN (reverse),98411.977313
SUCCDIAMINOPIMDESUCC-RXN,48126.000000
SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN-SUC/UBIQUINONE-8//FUM/CPD-9956.31.,312468.977313
SUCCINYLDIAMINOPIMTRANS-RXN (reverse),48126.000000
SULFATE-ADENYLYLTRANS-RXN,33351.000000
SULFITE-REDUCT-RXN (reverse),33348.000000
TETHYDPICSUCC-RXN,48126.000000
TETRAACYLDISACC4KIN-RXN,1943.000000
THI-P-KIN-RXN,49.000000
THREDEHYD-RXN,39207.000000
THREONINE-ALDOLASE-RXN (reverse),79078.000000
THYMIDYLATESYN-RXN-METHYLENE-THF/DUMP//TMP/DIHYDROFOLATE.38.,2656.000000
TRANS-RXN-1,497.000000
TRANS-RXN-114,177622.000000
TRANS-RXN-141,2287.000000
TRANS-RXN-141A,7.000000e+00
TRANS-RXN-141B,8.500000e+01
TRANS-RXN-145,1.736816e+07
TRANS-RXN-3,5.145700e+04
TRANS-RXN-62A,1.000000e+03
TRANS-RXN0-277 (reverse),1.067381e+06
TRANS-RXN0-286,4.000000e+03
TRANS-RXN0-459,1.000000e+01
TRANS-RXN0-461,1.638000e+03
TRANS-RXN0-474,1.289696e+06
TRANS-RXN0-497,1.372000e+03
TRANS-RXN0-500,4.900000e+01
TRANS-RXN0-545[CCO-PM-BAC-NEG]-CARBON-DIOXIDE//CARBON-DIOXIDE.47. (reverse),1.893273e+06
TRANS-RXN0-556[CCO-PM-BAC-NEG]-CARBON-MONOXIDE//CARBON-MONOXIDE.49. (reverse),4.900000e+01
TRANS-RXN0-586,3.335100e+04
TRIOSEPISOMERIZATION-RXN (reverse),1.177221e+06
TRYPSYN-RXN,6.467000e+03
TYROSINE-AMINOTRANSFERASE-RXN (reverse),1.973600e+04
UDP-NACMUR-ALA-LIG-RXN,4.000000e+03
UDP-NACMURALA-GLU-LIG-RXN,4.000000e+03
UDP-NACMURALGLDAPAALIG-RXN,4000.0
UDP-NACMURALGLDAPLIG-RXN,4000.0
UDPACYLGLCNACDEACETYL-RXN,3886.0
UDPGLUCEPIM-RXN,1943.0
UDPKIN-RXN,62721.0
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN,4000.0
UDPNACETYLMURAMATEDEHYDROG-RXN (reverse),4000.0
UGD-RXN,301.0
UNDECAPRENYL-DIPHOSPHATASE-RXN[CCO-CYTOSOL]-UNDECAPRENYL-DIPHOSPHATE/WATER//CPD-9646/Pi/PROTON.64.,3857.0
URA-PHOSPH-RXN (reverse),1968.0
UROGENDECARBOX-RXN,54.0
UROGENIIISYN-RXN,108.0
glycogen-monomer-extension,35110.0
GLURS-RXN-GLT-tRNAs/GLT/ATP/PROTON//Charged-GLT-tRNAs/AMP/PPI.52.,864.0
RXN0-5405,2000.0
RXN-11302,1000.0
1.8.4.8-RXN (reverse),33348.0
2.3.1.180-RXN,72916.0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/WATER.76.,72916.0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24//2-Hexadecenoyl-ACPs/WATER.60.,61258.0
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/WATER.76.,72916.0
3-OXOACYL-ACP-REDUCT-RXN-Beta-hydroxydecanoyl-ACPs/NADP//POLYMER-INST-B-KETOACYL-ACP-C6-H12/NADPH/PROTON.80. (reverse),72916.0
3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0/NADP//Acetoacetyl-ACPs/NADPH/PROTON.67. (reverse),72916.0
3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24/NADP//3-oxo-palmitoyl-ACPs/NADPH/PROTON.73. (reverse),61258.0
3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8/NADP//3-Oxo-octanoyl-ACPs/NADPH/PROTON.70. (reverse),72916.0
3-OXOACYL-ACP-SYNTH-RXN-MALONYL-ACP/POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/PROTON//ACP/POLYMER-INST-B-KETOACYL-ACP-C6-H12/CARBON-DIOXIDE.119.,72916.0
BIOTIN-CARBOXYL-RXN,496859.0
ENOYL-ACP-REDUCT-NADH-RXN-Butanoyl-ACPs/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/NADH/PROTON.69. (reverse),72916.0
ENOYL-ACP-REDUCT-NADH-RXN-POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/NAD//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/NADH/PROTON.100. (reverse),72916.0
FERREDOXIN--NAD+-REDUCTASE-RXN (reverse),10.0
LAUROYLACYLTRAN-RXN,1943.0
MALONYL-COA-ACP-TRANSACYL-RXN,496841.0
MYRISTOYLACYLTRAN-RXN,1943.0
PRODISULFREDUCT-A-RXN-GLUTATHIONE/Oxidized-NrdH-Proteins//OXIDIZED-GLUTATHIONE/Reduced-NrdH-Proteins.79.,715.0
PYFLAVOXRE-RXN,47391.0
PYRUFLAVREDUCT-RXN,47440.0
RXN-11474,10.0
RXN-11476 (reverse),10.0
RXN-11477,10.0
RXN-11478 (reverse),10.0
RXN-11479,10.0
RXN-11480 (reverse),10.0
RXN-11481,10.0
RXN-11482 (reverse),10.0
RXN-11483,10.0
RXN-17018,30629.0
RXN-9516,72916.0
RXN-9518 (reverse),72916.0
RXN-9520,72916.0
RXN-9523,72916.0
RXN-9531,72916.0
RXN-9532 (reverse),72916.0
RXN-9533,72916.0
RXN-9535,70854.0
RXN-9536 (reverse),70973.0
RXN-9537,63201.0
RXN-9539,61258.0
RXN-9655,72916.0
RXN-9658 (reverse),72916.0
RXN-9660 (reverse),72916.0
RXN-9661 (reverse),7.291600e+04
RXN-9662 (reverse),6.320100e+04
RXN-9663 (reverse),6.125800e+04
RXN-9787,4.900000e+01
RXN-9788,4.900000e+01
RXN-9789,4.900000e+01
RXN0-5055,4.968590e+05
RXN0-6705,3.062900e+04
RXN0-6717,1.410108e+06
RXN0-722 (reverse),6.880000e+02
RXN0-723,1.800000e+01
RXN0-745,1.200000e+01
RXN0-746,8.000000e+00
RXN0-748 (reverse),2.700000e+01
THIAZOLSYN2-RXN,4.900000e+01
THIOREDOXIN-REDUCT-NADPH-RXN (reverse),3.334800e+04
TRANS-RXN0-582-FRU/PTSI-PHOSPHORYLATED//FRU1P/PTSI-MONOMER.44.,1.410108e+06
UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN,3.886000e+03
UDPNACETYLGLUCOSAMACYLTRANS-RXN,3.886000e+03
325-BISPHOSPHATE-NUCLEOTIDASE-RXN__EG10043-MONOMER,2.639000e+03
ACETOLACTSYN-RXN__ACETOLACTSYNI-CPLX,2.186300e+04
ALARACECAT-RXN__CPLX0-8202,2.318000e+03
ASNSYNA-RXN__ASNSYNB-CPLX,3.810000e+02
ASPARTATEKIN-RXN__ASPKINIHOMOSERDEHYDROGI-CPLX,2.333900e+04
CATAL-RXN__HYDROPEROXIDI-CPLX,2.450000e+01
CHORISMATEMUT-RXN__CHORISMUTPREPHENDEHYDROG-CPLX,4.328800e+04
DAHPSYN-RXN__AROG-CPLX,6.644000e+03
DAHPSYN-RXN__AROF-CPLX,2.983100e+04
DAHPSYN-RXN__AROH-CPLX,1.410900e+04
DALADALALIG-RXN__DALADALALIGB-CPLX,9.420000e+02
DALADALALIG-RXN__DALADALALIGA-MONOMER,3.112000e+03
DARAB5PISOM-RXN__CPLX0-1262 (reverse),3.886000e+03
F16ALDOLASE-RXN__FRUCBISALD-CLASSII,1.217577e+06
F16ALDOLASE-RXN__FRUCBISALD-CLASSI,3.500000e+01
F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.__F16B-CPLX,1.124900e+04
F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.__EG11239-MONOMER,3.294000e+03
F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.__CPLX0-303,2.570000e+03
F16BDEPHOS-RXN[CCO-CYTOSOL]-FRUCTOSE-16-DIPHOSPHATE/WATER//FRUCTOSE-6P/Pi.59.__CPLX0-7776,4.000000e+00
GLUTDECARBOX-RXN__GLUTDECARBOXB-CPLX,1.610000e+02
ISOCHORSYN-RXN__ENTC-MONOMER,3.160000e+02
ISOCHORSYN-RXN__MENF-CPLX,2.500000e+01
RXN-9535__FABB-CPLX,1.190000e+02
RXN0-313__CPLX0-201 (reverse),3.100000e+01
RXN0-384__H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER,4.000000e+00
RXN0-5186__G7408-MONOMER,2.979000e+03
SERINE-O-ACETTRAN-RXN__CPLX0-237,1.716200e+04
SERINE-O-ACETTRAN-RXN__CYSSYNMULTI-CPLX,1.618600e+04
UNDECAPRENYL-DIPHOSPHATASE-RXN[CCO-CYTOSOL]-UNDECAPRENYL-DIPHOSPHATE/WATER//CPD-9646/Pi/PROTON.64.__PGPPHOSPHAB-MONOMER,1.430000e+02
URPHOS-RXN__URPHOS-CPLX,3.000000e+00
maintenance_reaction,3.058992e+06
