Promoter Name	Absolute-Plus-1-Position	Component-Of	Regulated-By
PM00536	1103344	COLI-K12-22 // TU00392	REG0-13460 // REG0-13459 // REG0-12833 // REG0-12373 // REG0-11637 // REG0-11575 // REG0-11495 // REG0-11214 // REG0-11213 // REG0-11212 // REG0-11211 // REG0-11061 // REG0-11059 // REG0-11058 // REG0-10850 // REG0-10817 // REG0-10816 // REG0-10815 // REG0-10814 // REG0-10813 // REG0-10812 // REG0-10811 // REG0-10810 // REG0-10809 // REG0-10808 // REG0-10807 // REG0-9046 // REG0-5359 // REG0-5358 // REG0-5357 // REG0-5356 // REG0-5355 // REG0-5354 // REG0-5352 // REG0-5351 // REG0-5350 // REG0-5349
PM0-3626	396553	COLI-K12-8 // TU0-3426	REG0-11808
PM0-4863	3606422	COLI-K12-73 // TU0-4623	REG0-16115 // REG0-16114
PM0-46338	1875600	COLI-K12-38 // TU0-8713	REG0-12224 // REG0-12223 // REG0-12222
PM0-44984	1638299	COLI-K12-33	
PM0-10472	1978577	COLI-K12-40 // TU0-14785	REG0-11466
PM0-2701	841648	COLI-K12-17 // TU0-2521	REG0-6386 // REG0-6385 // REG0-6384 // REG0-6383 // REG0-6382
PM0-10551	3072648	COLI-K12-62 // TU0-14816 // TU0-14814	
PM0-5762	3812577	COLI-K12-78 // TU0-5601 // TU0-5522	
PM0-44903	1477471	COLI-K12-30	
PM0-10012	1027041	COLI-K12-21 // TU0-13100	
PM0-46155	1905459	COLI-K12-38 // TU0-13420	REG0-11238 // REG0-11237 // REG0-11236
PM923	4201712	COLI-K12-85 // TU782	REG0-10938 // REG0-4830
PM0-10266	2545793	COLI-K12-52 // TU0-13624	REG0-10658 // REG0-10657
PM0-45057	1807775	COLI-K12-36	
PM00015	809292	COLI-K12-16 // TU00013	REG0-5888
PM0-9790		TU0-14510	
PM0-45191	2087238	COLI-K12-42	
PM00007	290340	COLI-K12-5 // TU00005	REG0-4778 // REG0-4777
PM0-46594	1655171	COLI-K12-33 // TU0-13333	REG0-11626 // REG0-13303
PM202	4640599	COLI-K12-94 // TU347	
PM0-44976	1624559	COLI-K12-33 // TU0-41801	REG0-11638
PM0-45215	2150999	COLI-K12-44	
PM0-45969	4143880	COLI-K12-84	
PM589	461332	COLI-K12-9 // TU489	REG0-4976 // REG0-4975 // REG0-4974 // REG0-4973 // REG0-4972
PM0-10176	4264304	COLI-K12-87 // TU0-14227	REG0-12942
PM0-44513	556967	COLI-K12-11	
PM0-45524	3015167	COLI-K12-61	
PM0-44653	897947	COLI-K12-18	
PM0-45833	3716513	COLI-K12-76	
PM00144	758586	COLI-K12-15 // TU0-42509 // TU00103	REG0-5865 // REG0-5864 // REG0-5863
PM0-45103	1894628	COLI-K12-38	
PM0-45075	1854041	COLI-K12-37	
PM0-45201	2103049	COLI-K12-43	
PM0-36247	2585577	COLI-K12-52 // TU0-13641	REG0-11108
PM00637	2710087	COLI-K12-55 // TU00342	REG0-12795 // REG0-12794 // REG0-12793
PM0-9979	446687	COLI-K12-9 // TU0-12925	
PM0-44446	321537	COLI-K12-6	
PM0-45038	1759481	COLI-K12-36	
PM0-46507	2804563	COLI-K12-57 // TU0-45207	REG0-14957
PM0-45970	4143953	COLI-K12-84	
PM0-1321		TU0-1161	
PM0-44856	1351866	COLI-K12-27	
PM0-5284	1610737	COLI-K12-32	
PM0-9414	4235858	COLI-K12-86 // TU0-14287 // TU0-14111	REG0-4480 // REG0-4479
PM0-45230	2192909	COLI-K12-44	
PM00366	1263583	COLI-K12-25 // TU0-4202	
PM00541	4467271	COLI-K12-91 // TU00397	
PM0-10372	3244843	COLI-K12-66 // TU0-14746	
PM0-44735	1126081	COLI-K12-23	
PM601	1447367	COLI-K12-29 // TU501	
PM0-44692	1023976	COLI-K12-20	
PM0-44377	193471	COLI-K12-3	
PM0-45746	3511622	COLI-K12-71	
PM0-44710	1056220	COLI-K12-21	
PM0-5441		TU0-5221 // TU0-5201	REG0-6199
PM0-8523	2578570	COLI-K12-52 // TU0-8143	
PM0-44641	859106	COLI-K12-17	
PM00652	2286207	COLI-K12-46 // TU00494	REG0-5837
PM440	4365392	COLI-K12-89 // TU359	
PM0-45023	1739809	COLI-K12-35	
PM0-45944	4069446	COLI-K12-83	
PM0-4922	4494435	COLI-K12-91 // TU0-4682	REG0-6245 // REG0-6244 // REG0-6243 // REG0-6242 // REG0-6241 // REG0-6240
PM00418	2734205	COLI-K12-55 // TU00421	
PM0-5063	2790912	COLI-K12-57 // TU0-4823	
PM0-44693	1027797	COLI-K12-21	
PM0-44439	320170	COLI-K12-6	
PM0-10219	3178074	COLI-K12-65 // TU0-13838	REG0-9782 // REG0-9781 // REG0-9575
PM0-45237	2214749	COLI-K12-45	
PM0-4421	3793939	COLI-K12-77 // TU0-4181	
PM00396	2082728	COLI-K12-42 // TU0-6513	
PM0-45760	3536780	COLI-K12-72	
PM00503	4472553	COLI-K12-91 // TU00484	REG0-11130
PM00663	926006	COLI-K12-18 // TU00508	REG0-12711
PM0-44505	515892	COLI-K12-10	
PM0-46519	2819373	TU0-45221 // COLI-K12-57	
PM0-45680	3334796	COLI-K12-68	
PM0-44500	508264	COLI-K12-10	
PM0-5402	4419927	COLI-K12-90 // TU0-5162	REG0-6195 // REG0-6194 // REG0-6193 // REG0-6192
PM0-46022	4379433	COLI-K12-89	
PM00649	2044541	COLI-K12-41 // TU00497	
PM0-9690	3081892	COLI-K12-63 // TU0-14235	
PM0-5862	4252443	COLI-K12-87 // TU00369	REG0-6170 // REG0-6169 // REG0-6168 // REG0-6167
PM0-10143	3484311	COLI-K12-71 // TU0-13920	
PM0-45468	2892572	COLI-K12-59	
PM0-8715	2695767	COLI-K12-55 // TU0-8335	REG0-6564
PM0-9608	491310	COLI-K12-10 // TU0-12947	
PM00101	2310427	COLI-K12-47 // TU00072	REG0-5550 // REG0-5549
PM0-46368	2965254	COLI-K12-60 // TU0-42616	
PM-8775	3039633	COLI-K12-62 // TU-8392	
PM591	2634197	COLI-K12-53 // TU491	REG0-12818 // REG0-4977
PM0-9872	106508	COLI-K12-2 // TU0-12809	
PM00128	3957912	COLI-K12-81 // TU00090	REG0-11327 // REG0-5470
PM590	461305	COLI-K12-9 // TU490	
PM0-44938	1517354	COLI-K12-31	
PM0-8841	742619	COLI-K12-15 // TU0-8454	
PM0-10195	4607781	COLI-K12-94 // TU0-14216	
PM0-44882	1420277	COLI-K12-29	
PM0-10118	3041282	COLI-K12-62 // TU0-8749	
PM0-44411	282223	COLI-K12-5	
PM0-9859		TU0-14558	
PM0-36252	3298897	COLI-K12-67 // TU0-13876	
PM0-44761	1182848	COLI-K12-24	
PM622	2911368	COLI-K12-59 // TU522	REG0-11224 // REG0-11223 // REG0-11222 // REG0-11221 // REG0-11133 // REG0-4939
PM0-46128	1986148	COLI-K12-40 // TU0-42451	
PM179	4233539	COLI-K12-86 // TU0-6552	REG0-11257
PM0-45312	2385769	COLI-K12-48	
PM0-8916	176561	COLI-K12-3 // TU0-8480	REG0-6544
PM0-9823	1074113	COLI-K12-21 // TU0-14540	REG0-9266
PM0-44563	663967	COLI-K12-13	
PM0-9640	3790149	COLI-K12-77 // TU0-13999	REG0-10501 // REG0-9033 // REG0-9032
PM0-45339	2462984	COLI-K12-50	
PM0-45007	1684173	COLI-K12-34	
PM162	2522505	COLI-K12-51 // TU791	
PM0-9328	25014	COLI-K12-0 // TU0-14253	
PM0-10480	3000265	COLI-K12-61 // TU0-14792	
PM0-45465	2874028	COLI-K12-58	
PM0-45266	2266214	COLI-K12-46	
PM437	576870	COLI-K12-11 // TU356	REG0-9576 // REG0-5053 // REG0-5052 // REG0-5051 // REG0-5050
PM0-45921	4009023	COLI-K12-82	
PM0-46199	2784818	COLI-K12-56 // TU0-13702	
PM0-1986	1368040	COLI-K12-27 // TU0-1805	
PM0-10033	1361052	COLI-K12-27 // TU0-13210	REG0-11813 // REG0-11699 // REG0-11698 // REG0-11697 // REG0-11695 // REG0-10388
PM0-45300	2365698	COLI-K12-48	
PM0-45574	3146753	COLI-K12-64	
PM0-45161	2008261	COLI-K12-41	
PM0-2082	441373	COLI-K12-9 // TU00373	
PM0-46042	4449817	COLI-K12-91	
PM0-44424	304258	COLI-K12-6	
PM0-45632	3250466	COLI-K12-66	
PM0-44803	1228750	COLI-K12-25	
PM0-45972	4148429	COLI-K12-84	
PM0-44506	519329	COLI-K12-10	
PM0-44592	729082	COLI-K12-14	
PM0-46185	1862240	COLI-K12-38 // TU0-42480	
PM0-9718	2878915	COLI-K12-58 // TU0-14469	
PM00453	3719940	COLI-K12-76 // TU0-1582	
PM0-46059	4496349	COLI-K12-92	
PM0-45807	3634635	COLI-K12-74	
PM0-45908	3950027	COLI-K12-80	
PM0-44960	1570577	COLI-K12-32	
PM741	121650	COLI-K12-2 // TU641	REG0-10174 // REG0-4921 // REG0-4920
PM0-44877	1417815	COLI-K12-29	
PM00278	354884	COLI-K12-7 // TU00197	REG0-5735 // REG0-5734
PM0-45279	2303851	COLI-K12-47	
PM0-45857	3768064	COLI-K12-77	
PM0-45169	2033223	COLI-K12-41	
PM00398	2093360	COLI-K12-42 // TU0-6650	
PM0-10436	1451409	TU0-42552 // COLI-K12-29	REG0-11949 // REG0-11950
PM00047	4246464	COLI-K12-86 // TU00038	REG0-13536 // REG0-13535 // REG0-11265 // REG0-9331 // REG0-9330 // REG0-4735 // REG0-4734 // REG0-4733 // REG0-4732 // REG0-4731 // REG0-4730 // REG0-4729 // REG0-4728 // REG0-4727
PM0-46474	1109257	TU0-45174 // COLI-K12-22	
PM0-45582	3161182	COLI-K12-64	
PM0-36234	1168844	COLI-K12-23 // TU0-8684	REG0-11098
PM0-45763	3543147	COLI-K12-72	
PM0-46510	705999	TU0-45210 // COLI-K12-14	
PM00614	461838	COLI-K12-9 // TU0-6621	
PM0-45976	4199373	COLI-K12-85	
PM0-45205	2107283	COLI-K12-43	
PM0-45162	2008155	COLI-K12-41	
PM0-45315	2388554	COLI-K12-48	
PM0-44381	195561	COLI-K12-4	
PM0-4642	816692	COLI-K12-16	
PM0-45200	2103090	COLI-K12-43	
PM0-45554	3111276	COLI-K12-63	
PM0-9995	782061	COLI-K12-16 // TU0-13037	REG0-9566
PM0-10276	2545741	COLI-K12-52 // TU0-14715	REG0-10137 // REG0-9884 // REG0-9883
PM0-45496	2984194	COLI-K12-61	
PM0-46464	1755600	TU0-45163 // COLI-K12-35	
PM00476	3952388	COLI-K12-80 // TU526	
PM0-45475	2905605	COLI-K12-59	
PM0-10223	2167114	COLI-K12-44 // TU0-13506	REG0-12148 // REG0-9584
PM0-45714	3403280	COLI-K12-69	
PM0-45143	1961931	COLI-K12-40	
PM0-44909	1490761	COLI-K12-30	
PM0-45798	3619178	COLI-K12-74	
PM00586	2868829	COLI-K12-58 // TU00309	
PM00619	3492395	COLI-K12-71 // TU00464	REG0-10541 // REG0-8989 // REG0-5338 // REG0-5337 // REG0-5336
PM0-9847		TU0-8660	
PM0-8917	3545596	COLI-K12-72 // TU0-8481	REG0-6545
PM0-44420	295660	COLI-K12-6	
PM0-44557	661460	COLI-K12-13	
PM0-44736	1126077	COLI-K12-23	
PM0-46254	192814	COLI-K12-3 // TU0-42525	REG0-12996
PM583	2704223	COLI-K12-55 // TU00332 // TU483	
PM0-8734	1442915	COLI-K12-29 // TU0-8353	
PM0-45810	3653268	COLI-K12-74	
PM0-36185	3908556	COLI-K12-79 // TU0-36419	
PM00481	3966162	COLI-K12-81 // TU0-42518 // TU0-6941	
PM335	4051943	COLI-K12-82 // TU0-6505	
PM0-46102	4600210	COLI-K12-94	
PM0-9960	131564	COLI-K12-2 // TU0-14608	
PM0-44804	1233147	COLI-K12-25	
PM0-36232	1024365	COLI-K12-20 // TU0-13099	
PM0-4427	866394	COLI-K12-17 // TU00302	REG0-15808 // REG0-5348 // REG0-5347 // REG0-5346 // REG0-5345
PM00609	104693	COLI-K12-2 // TU0-1424	REG0-11159
PM0-10056	1779328	COLI-K12-36 // TU0-8710	
PM0-1501	3059730	COLI-K12-62 // TU0-1341	REG0-11318 // REG0-11317 // REG0-6432
PM0-44942	1520096	COLI-K12-31	
PM0-46054	4479664	COLI-K12-91	
PM00434	3210712	COLI-K12-65 // TU00434	REG0-11181
PM-8773	926685	COLI-K12-18 // TU-8390	
PM0-44631	842224	COLI-K12-17	
PM0-9651	1258738	COLI-K12-25 // TU0-8689	REG0-9050
PM0-45401	2664244	COLI-K12-54	
PM0-2585	368528	COLI-K12-7 // TU0-2405	
PM0-10504	1622914	COLI-K12-33 // TU0-14797	REG0-10659
PM0-45328	2431875	COLI-K12-49	
PM0-5403	4419675	COLI-K12-90 // TU0-5163	REG0-6198 // REG0-6197 // REG0-6196
PM0-45679	3333225	COLI-K12-68	
PM0-9971	346432	COLI-K12-7 // TU0-8549	
PM0-36157	159391	COLI-K12-3 // TU0-36412	REG0-11148 // REG0-11131
PM261	1335424	COLI-K12-27 // TU795	
PM0-46074	4520381	COLI-K12-92	
PM0-45303	2381614	COLI-K12-48	
PM0-45979	4213224	COLI-K12-86	
PM0-46582	3656960	TU0-45279 // COLI-K12-74	REG0-15269 // REG0-15268 // REG0-15267 // REG0-15266 // REG0-15265 // REG0-15264
PM0-44406	275119	COLI-K12-5	
PM00161	3485953	COLI-K12-71 // TU00119	REG0-12094 // REG0-5443 // REG0-5442 // REG0-5441 // REG0-5440 // REG0-5439 // REG0-5438
PM0-9744	456605	COLI-K12-9 // TU0-14490	
PM0-9715	2824394	COLI-K12-57 // TU0-13718	
PM0-9792		TU0-14512	
PM0-8625	1946110	COLI-K12-39 // TU0-8245	
PM0-45834	3716479	COLI-K12-76	
PM0-45458	2861362	COLI-K12-58	
PM0-44962	1582729	COLI-K12-32	
PM-8814	1720998	COLI-K12-35 // TU-8428	
PM0-10025	1237285	COLI-K12-25 // TU0-8686	
PM0-9379		TU0-14129	
PM0-44884	1420260	COLI-K12-29	
PM603	1741379	COLI-K12-35 // TU503	
PM435	4640681	COLI-K12-94 // TU354	
PM0-44519	558807	COLI-K12-11	
PM0-44966	1609140	COLI-K12-32	
PM0-4428	1889807	COLI-K12-38 // TU0-4187	REG0-12925 // REG0-5899 // REG0-5898 // REG0-5897 // REG0-5896
PM0-10252	3659140	COLI-K12-74 // TU0-14697	
PM0-45405	2668053	COLI-K12-54	
PM00509	4624856	COLI-K12-94 // TU0-6514	
PM67	1190508	COLI-K12-24 // TU66	REG0-5039
PM0-45482	2943229	COLI-K12-60	
PM0-46002	4297151	COLI-K12-87	
PM0-45217	2151016	COLI-K12-44	
PM0-36202	3471583	COLI-K12-71 // TU0-36426	
PM0-46369	1996880	COLI-K12-40 // TU0-42620	
PM-8829	2856828	COLI-K12-58 // TU-8443	REG0-10491 // REG0-10490 // REG0-6595 // REG0-6594
PM0-44873	1409338	COLI-K12-28	
PM0-46035	4434104	COLI-K12-90	
PM00524	2413459	COLI-K12-49 // TU00385	REG0-6105 // REG0-6104
PM0-5423	2436890	COLI-K12-49 // TU0-5183	
PM0-45480	2930873	COLI-K12-59	
PM0-10004	939365	COLI-K12-19 // TU0-13080	
PM0-10035	1395973	COLI-K12-28 // TU0-8636	
PM0-45597	3172407	COLI-K12-64	
PM0-9956	8191	COLI-K12-0 // TU0-8121	
PM0-46488	257810	COLI-K12-5	REG0-14913
PM166	3128076	COLI-K12-64 // TU0-1962	REG0-11384 // REG0-6038 // REG0-6037 // REG0-6036 // REG0-6035
PM0-45429	2744642	COLI-K12-56	
PM0-45379	2582893	COLI-K12-52	
PM0-45081	1870243	COLI-K12-38	
PM0-45731	3466749	COLI-K12-70	
PM0-36213	4235872	COLI-K12-86 // TU0-36435	
PM0-46005	4297222	COLI-K12-87	
PM0-45700	3385481	COLI-K12-69	
PM00251	1230738	COLI-K12-25 // TU00180	REG0-5570 // REG0-5569
PM0-44496	504767	COLI-K12-10	
PM00195	358709	COLI-K12-7 // TU00143	REG0-5847 // REG0-5846
PM0-46473	3055759	COLI-K12-62 // TU0-45173 // TU0-45172	REG0-14866 // REG0-14865 // REG0-14864 // REG0-14863
PM0-45516	2993603	COLI-K12-61	
PM0-45046	1787339	COLI-K12-36	
PM0-46512	2734205	TU0-45212 // COLI-K12-55	
PM0-46573	2907968	COLI-K12-59 // TU0-45270	
PM0-45437	2758978	COLI-K12-56	
PM0-46442	745904	COLI-K12-15 // TU0-44220	
PM0-10034	1388874	COLI-K12-28 // TU0-8693	REG0-12510
PM00472	3922270	COLI-K12-80 // TU0-6635	
PM0-44387	231083	COLI-K12-4	
PM205	4640801	COLI-K12-94 // TU352	
PM0-45088	1876777	COLI-K12-38	
PM0-45887	3843901	COLI-K12-78	
PM0-8714	855786	COLI-K12-17 // TU0-8334	REG0-12851 // REG0-11102 // REG0-6563
PM0-44374	177757	COLI-K12-3	
PM0-10511	1848700	COLI-K12-37 // TU00356	
PM0-10253	3659145	COLI-K12-74 // TU0-14698	
PM0-46353	3696443	COLI-K12-75 // TU0-13972	
PM0-46443	3850294	COLI-K12-78 // TU0-44221	
PM0-46481	2167114	COLI-K12-44 // TU0-45184	REG0-14907 // REG0-14906
PM0-46484	1011659	TU0-45186 // COLI-K12-20	
PM0-44695	1030061	COLI-K12-21	
PM0-45063	1817242	COLI-K12-37	
PM0-46545	159171	TU0-45245 // COLI-K12-3	REG0-15120 // REG0-15119
PM0-1726	1138351	COLI-K12-23 // TU0-1545	
PM00097	1386692	COLI-K12-28 // TU00068	REG0-12512 // REG0-5541 // REG0-5540
PM0-44450	345252	TU0-198695 // COLI-K12-7	
PM0-45916	4004241	COLI-K12-81	
PM0-10169	4075548	COLI-K12-83 // TU0-14070	
PM0-46048	4474834	COLI-K12-91	
PM0-45515	2993591	COLI-K12-61	
PM0-8920	2303695	COLI-K12-47 // TU0-8484	REG0-6523
PM0-9657	2870686	COLI-K12-58 // TU00363	
PM0-44561	662401	COLI-K12-13	
PM0-45289	2344284	COLI-K12-47	
PM0-8623	1948674	COLI-K12-39 // TU0-8243	
PM0-9755		TU0-13585	
PM0-45764	3556880	COLI-K12-72	
PM0-45444	2767644	COLI-K12-56	
PM681	1230466	COLI-K12-25 // TU581	REG0-15751 // REG0-9376 // REG0-9375 // REG0-9374 // REG0-9373 // REG0-9372 // REG0-9257 // REG0-9256 // REG0-9255 // REG0-9254 // REG0-8983 // REG0-8982 // REG0-4967 // REG0-4966 // REG0-4965 // REG0-4964 // REG0-4963 // REG0-4962
PM0-46097	4594837	COLI-K12-94	
PM00336	424985	COLI-K12-8 // TU871	REG0-13002 // REG0-6018
PM0-45682	3336983	COLI-K12-68	
PM00360	1079210	COLI-K12-22 // TU122	REG0-4858 // REG0-4857 // REG0-4856
PM0-46579	1671327	COLI-K12-34 // TU0-45276	REG0-15251 // REG0-15250 // REG0-15249 // REG0-15248 // REG0-15247
PM0-45761	3536744	COLI-K12-72	
PM00590	2868118	COLI-K12-58 // TU00442	REG0-11944 // REG0-11323 // REG0-9527 // REG0-5628 // REG0-5627 // REG0-5626 // REG0-5625 // REG0-5624
PM0-45572	3133982	COLI-K12-64	
PM0-46201	1638712	COLI-K12-33 // TU0-42493	
PM0-2801	1764418	COLI-K12-36 // TU0-2621	REG0-10665 // REG0-10495 // REG0-10494 // REG0-9090 // REG0-9089 // REG0-6350 // REG0-6349 // REG0-6348 // REG0-6347
PM0-9991	645034	COLI-K12-13 // TU0-12997	
PM0-44363	148910	COLI-K12-3	
PM-8820	3836664	COLI-K12-78 // TU-8434	
PM0-44749	1161827	COLI-K12-23	
PM0-4445	3247643	COLI-K12-66 // TU0-4205	
PM00378	1813814	COLI-K12-37 // TU0-6507	REG0-9526 // REG0-9378
PM0-46517	4556856	COLI-K12-93 // TU0-45219	REG0-16077 // REG0-14980 // REG0-14979 // REG0-14978
PM0-44944	1532867	COLI-K12-31	
PM00519	953641	COLI-K12-19 // TU00381	
PM0-45745	3511617	COLI-K12-71	
PM0-7941	2483641	COLI-K12-50 // TU0-7561	REG0-10934 // REG0-6096
PM0-45616	3216539	COLI-K12-65	
PM0-45993	4278466	COLI-K12-87	
PM0-44511	546506	COLI-K12-11	
PM0-45327	2431868	COLI-K12-49	
PM0-46093	4589048	COLI-K12-93	
PM0-44403	260303	COLI-K12-5	
PM0-36248	2590970	COLI-K12-53 // TU0-14237	
PM0-36142	2315695	COLI-K12-47 // TU00327	
PM00209	2850461	COLI-K12-58 // TU00153	REG0-10802 // REG0-10480 // REG0-5777 // REG0-5776 // REG0-5775
PM00028	3410246	COLI-K12-69 // TU00021	REG0-11146 // REG0-11129 // REG0-9007 // REG0-4634 // REG0-4633 // REG0-4632 // REG0-4631 // REG0-4630 // REG0-4629 // REG0-4628 // REG0-4627 // REG0-4626 // REG0-4625
PM0-45712	3399083	COLI-K12-69	
PM0-10338	2308641	COLI-K12-47 // TU0-13560	REG0-10187 // REG0-10186 // REG0-10185 // REG0-10184 // REG0-10183 // REG0-10182
PM0-45239	2215586	COLI-K12-45	
PM00442	3384602	COLI-K12-69 // TU0-3501	
PM0-45809	3637500	COLI-K12-74	
PM0-46312	3157545	COLI-K12-64 // TU0-13825	REG0-11983
PM0-45019	1720865	COLI-K12-35	
PM0-36244	2230509	COLI-K12-45 // TU0-13535	
PM0-44951	1544758	COLI-K12-31	
PM0-3623	2753486	COLI-K12-56 // TU0-3423	REG0-10509 // REG0-6311
PM0-9199	2976189	COLI-K12-60 // TU0-8763	REG0-6604
PM0-10185	4372761	COLI-K12-89 // TU0-14141	
PM0-46082	4562682	COLI-K12-93	
PM00618	3492335	COLI-K12-71 // TU00463	REG0-5170
PM0-45636	3252249	COLI-K12-66	
PM0-44578	679416	COLI-K12-13	
PM0-10182	4370783	COLI-K12-89 // TU0-14672	
PM0-10238	3908447	COLI-K12-79 // TU0-14694	
PM0-44907	1487202	COLI-K12-30	
PM0-3343	771368	COLI-K12-15 // TU0-3163	REG0-11506 // REG0-11505
PM183	1821726	COLI-K12-37 // TU00248	REG0-8993 // REG0-8992 // REG0-5122 // REG0-5121 // REG0-5120 // REG0-5119 // REG0-5118
PM0-45744	3499759	COLI-K12-71	
PM00100	3997907	COLI-K12-81 // TU00071	REG0-5548
PM0-45159	1996910	TU0-42626 // COLI-K12-40	
PM0-9754		TU0-14364	
PM-8807	4256598	COLI-K12-87 // TU-8421	
PM0-46270	1064037	COLI-K12-21 // TU0-42532	REG0-11759
