Transcription Factor Binding Sites	Abs-Center-Pos	Involved-In-Regulation	Regulated-Entity	Regulator
BS0-8377	2344340	REG0-11891	PM00063	PD00288
BS303	42207.5	REG0-5161 // REG0-5653	PM339 // PM00528	CPLX0-8062
BS0-4104		REG0-6196	PM0-5403	PC00027
BS0-7035	987465	REG0-15030 // REG0-4594	PM0-46528 // PM00066	CPLX0-7748
BS00795	127699	REG0-5912	PM00326	PHOSPHO-ARCA
BS0-8174	651888.5	REG0-11368 // REG0-11366	PM0-10380 // PM0-9889	PHOSPHO-ARCA
BS0-7322	612672	REG0-6528 // REG0-5841	PM00343 // PM00225	CPLX0-7639
BS0-7793	3967799	REG0-10518	PM0-10437	CPLX0-7756
BS0-10777		REG0-16332	PM0-9739	MONOMER0-46
BS00155	2312897.5	REG0-14835 // REG0-5207 // REG0-4570	PM0-46465 // PM00401 // PM00065	PHOSPHO-OMPR
BS00015	4154903.5d0	REG0-4776 // REG0-4774	PM00006 // PM00005	CPLX0-228
BS0-7584	1754628	REG0-9464	PM0-10196	PHOSPHO-NARL
BS0-3681	2601010.5	REG0-4852	PM787	CPLX0-226
BS0-6979	954779	REG0-5203 // REG0-5185	PM00354 // PM00353	PHOSPHO-NARL
BS00549	1277802	REG0-4538	PM00061	PC00027
BS0-4782	4262777.5d0	REG0-6177	PM0-6041	PC00027
BS0-4502	70192	REG0-4770 // REG0-4763	PM00004 // PM00003	CPLX-172
BS0-8464	17910.5	REG0-12192	TU0-14299	G6789-MONOMER
BS0-2583	354826	REG0-5734	PM00278	G7072-MONOMER
BS0-4346	3318555.5	REG0-6165 // REG0-4844	PM0-5741 // PM00672	CPLX0-228
BS00658	2405284	REG0-5631	PM00592	PHOSPHO-NARL
BS0-8415	2568278.5	REG0-12005	TU0-13634	EG10442-MONOMER
BS828	2255063	REG0-6025	PM1021	PC00027
BS0-4901	4124573.5	REG0-9815 // REG0-5234	PM00486	CPLX0-226
BS0-2967	102705.5	REG0-15232 // REG0-6303 // REG0-5970	PM0-46574 // PM00607 // PM00296	PD02198
BS0-5561	4540205	REG0-9077 // REG0-6128	PM00560 // PM0-7183	PD00266
BS00712	848094	REG0-5751	PM00235	PC00027
BS00679	4117160.5d0	REG0-5761	PM00238	PD03576
BS0-7453	4432050	REG0-9170	PM-8827	PHOSPHO-NARL
BS0-7965	1936411.5	REG0-10893	PM00295	PC00061
BS00455	4100718.5	REG0-5517	PM00089	PD00365
BS0-4101		REG0-6193	PM0-5402	PC00027
BS0-7880	3168612	REG0-10732	PM0-10415	G7571-MONOMER
BS0-1021	940873	REG0-6495	PM0-1282	CPLX0-6
BS0-8089	3389493.5	REG0-11101 // REG0-11100	PM0-36254 // PM0-36253	CPLX0-226
BS0-8200	2942631	REG0-11430 // REG0-11429	PM00234 // PM0-6484	PD00339
BS0-4363	2832391	REG0-6262	PM0-4681	PC00027
BS0-7543	3373643	REG0-9382	PM0-1781	CPLX0-7705
BS-7085	2856835	REG0-6595	PM-8829	CPLX0-7756
BS542	1011626	REG0-15181 // REG0-5149	PM0-46562 // PM332	PD00406
BS0-6862		REG0-6022	PM0-8642	PC00010
BS0-1922	1031990	REG0-14857 // REG0-5327	PM0-46472 // PM00598	PHOSPHO-NARL
BS0-6961	987213.5	REG0-15037 // REG0-4586	PM0-46528 // PM00066	CPLX0-226
BS0-7382	49650.5	REG0-9036	PM00320	MONOMER0-162
BS0-1521	1367995.5d0	REG0-6395	PM0-1981	PC00027
BS0-8873	800734	REG0-13214	TU0-13042	G7072-MONOMER
BS0-5966	3088390.5	REG0-6116	PM0-7421	PD00261
BS0-8355	1880769.5	REG0-11754	PM0-46264	MONOMER0-155
BS0-7442	1825845.5	REG0-9159	PM-8764	PHOSPHO-BAER
BS0-4425	2804826	REG0-4865	PM00423	PD00288
BS0-8687	4005841	REG0-12743	PM0-46383	PC00010
BS0-7247	1330802	REG0-6380 // REG0-5083	PM00550 // PM00547	CPLX0-7705
BS0-5447	3281867.5	REG0-6151	PM0-6883	G7630-MONOMER
BS445	1237603	REG0-5290 // REG0-5027 // REG0-5020	PM00540 // PM562 // PM561	PD00353
BS0-2560	4207693	REG0-15260 // REG0-6457	PM0-46580 // PM0-1346	CPLX0-7705
BS0-7644	3177966	REG0-9754	PM0-10257	PHOSPHO-PHOP
BS00607	1822279.5d0	REG0-15284 // REG0-5300	PM0-46586 // PM00543	PC00027
BS0-7456	1165957	REG0-9229	PM00218	EG11088-MONOMER
BS0-7814	2691561.5	REG0-10577	PM0-9632	MONOMER0-4147
BS00150	2344599	REG0-4561	PM00063	CPLX0-7705
BS0-7816	2691465.5	REG0-10579	PM0-9632	MONOMER0-4147
BS0-4961	1764628	REG0-6349	PM0-2801	PD00214
BS0-8453	1506095.5	REG0-12152 // REG0-12150	TU0-8702 // PM0-46335	G6745-MONOMER
BS0-8822	401185	REG0-14544 // REG0-13140	EG11256 // TU0-8784	G7072-MONOMER
BS0-8375	2958991.5	REG0-11831	PM00428	PC00010
BS00409	848169	REG0-5749	PM00235	CPLX0-8566
BS0-8438	4277448.5	REG0-12111 // REG0-12110	PM00297 // PM00606	EG12116-MONOMER
BS0-7388	4462860.5	REG0-9042	PM0-5023	CPLX0-8061
BS0-7693	1079086.5	REG0-10269	PM103	PUTA-MONOMER
BS0-2941	4128579.5d0	REG0-6298	PM00490	CPLX0-7796
BS0-3541	1078956.5	REG0-5101	PM206	PUTA-MONOMER
BS0-5821	1367919	REG0-6396 // REG0-6393	PM0-1983 // PM0-1981	EG12344-MONOMER // CPLX0-981
BS323	577014	REG0-5053	PM437	PC00027
BS0-3349	1293071	REG0-5686	PM00191	PD00288
BS0-7243	1822369	REG0-15285 // REG0-5299	PM0-46586 // PM00543	CPLX0-7705
BS0-8902	2990741	REG0-13290 // REG0-13256	TU0-8652 // TU0-13762	G7072-MONOMER
BS00265	3957851	REG0-15080 // REG0-5470 // REG0-4709	PM0-46535 // PM00128 // PM00041	PD00200 // CPLX0-7715
BS0-8730	1420275	REG0-12840	TU0-13231	G6680-MONOMER
BS0-8400	922759.5	REG0-11978	PM00597	CPLX0-226
BS0-7020		REG0-6567	PM0-8728	CPLX0-7797
BS0-7477	1311039	REG0-9276	PM00229	CPLX0-7639
BS0-3732	1157621	REG0-6511 // REG0-6507	PM0-1302 // PM0-1301	CPLX0-7705
BS0-1984	841637	REG0-6383	PM0-2701	CPLX0-7639
BS0-8477	3784264.5	REG0-12226	PM0-46344	CPLX0-226
BS0-7160	1488179.5d0	REG0-5997	PM324	CPLX0-7797
BS183		REG0-5137	PM242	PD00288
BS0-7511	3100817	REG0-9349	PM00430	CPLX0-7705
BS0-4722	2246946	REG0-4802 // REG0-4798	PM00020 // PM00019	CPLX0-7639
BS0-3143	866503	REG0-5346	PM0-4427	PHOSPHO-NARL
BS241		REG0-5093	PM341	PD00288
BS0-3303	703778.5	REG0-9012 // REG0-9006 // REG0-6258 // REG0-4513	PM0-4621 // PM00058	CPLX0-226
BS0-8899	2897901	REG0-13253	TU0-13730	G7072-MONOMER
BS0-1	2303614	REG0-5061 // REG0-4877	PM444 // PM125	PHOSPHO-NARL
BS358	771206.5	REG0-5055	PM439	PHOSPHO-ARCA
BS00558	4058196	REG0-5931 // REG0-4670	PM00312 // PM00034	PROTEIN-NRIP
BS0-7901	3455686	REG0-10784	PM0-9512	CPLX0-7639
BS00223	1333774	REG0-5366	PM00106	PC00040
BS00161	987182.5	REG0-15034 // REG0-4589	PM0-46528 // PM00066	PHOSPHO-OMPR
BS0-7269	3354443.5	REG0-14892 // REG0-5249	PM0-46479 // PM00254	CPLX0-226
BS00066	4382416	REG0-15002 // REG0-4644	PM0-46523 // PM00030	PHOSPHO-NARL
BS0-6991	4105753	REG0-15277 // REG0-6491 // REG0-6572	PM0-46584 // PM0-1201 // PM0-4	CPLX0-7748
BS0-1585	485770.5	REG0-4943	PM624	PD00365
BS746	3493971.5d0	REG0-4552	PM00062	PC00061
BS0-7432	3639902	REG0-9110 // REG0-9109	PM0-1358 // PM00451	PC00027
BS0-7528	1572036	REG0-15058 // REG0-9366	PM0-46530 // PM450	CPLX0-7705
BS0-7194		REG0-14980	PM0-46517	CPLX0-7797
BS00667	432131.5	REG0-8991 // REG0-5914	PM00337	CPLX0-226
BS0-8971	1256363	REG0-13373	TU0-13178	EG12386-MONOMER
BS0-3944	1696241.5	REG0-6187	PM0-5321	CPLX0-226
BS0-8973	2041857	REG0-13375	TU0-13470	EG12386-MONOMER
BS0-8085	118708.5	REG0-11107 // REG0-11096	PM0-36222 // PM0-36221	CPLX0-226
BS0-8475	1875629.5	REG0-12223 // REG0-12220	PM0-46338 // PM0-46339	G6976-MONOMER
BS00029	406310	REG0-4793	PM00013	MONOMER0-162
BS00717	2339545	REG0-5712	PM00192	PD03695
BS0-8861	231023	REG0-14690 // REG0-13184	EG11650 // TU0-8541	G7072-MONOMER
BS0-6960	1688842.5	REG0-5866	PM00146	CPLX0-226
BS0-8529	830667.5	REG0-12523 // REG0-12522	TU0-8500 // PM0-46366	EG12406-MONOMER
BS0-6997	3270642	REG0-4955	PM643	CPLX0-7705
BS0-4981	3742622	REG0-4986	PM449	PC00027
BS826	2255170	REG0-6027	PM1021	MONOMER0-155
BS0-6641	2153951.5	REG0-5766	PM0-8261	PHOSPHO-BAER
BS0-8810		REG0-13127	PM0-46188	PD02198
BS0-7660	3088011.5	REG0-10084	PM0-7421	MONOMER-52
BS00754	3485893.5d0	REG0-5438 // REG0-5271	PM00161 // PM00632	CPLX0-226
BS0-1041	816787.5	REG0-6496	PM0-1283	CPLX0-7797
BS00450	1936430	REG0-5990	PM00295	PD00365
BS0-7978	1121523	REG0-10906	PM0-10244	PD00266
BS0-8323		REG0-11648	PM0-10468	PHOSPHO-PHOB
BS0-8147	4246446.5	REG0-11265	PM00047	PHOSPHO-CREB
BS0-2346	771116.5d0	REG0-6327 // REG0-6323 // REG0-5505 // REG0-5054	PM0-3342 // PM0-3341 // PM00141 // PM439	CPLX0-7797
BS0-7548	1277889	REG0-9387	PM00061	CPLX0-7705
BS0-2182	1453750	REG0-5103 // REG0-5097	PM4 // PM5	PC00027
BS0-7852	4605799	REG0-10677	PM0-8081	PD00214
BS0-8179	652129	REG0-11383 // REG0-11375 // REG0-11373	PM0-10380 // PM0-9889 // PM0-10377	PHOSPHO-DPIA
BS0-8356	1257873.5	REG0-11755	PM0-1962	PD00214
BS0-8533	3719745.5	REG0-12532	PM00452	PD00288
BS0-7763	1447308	REG0-10481	PM0-46298	CPLX0-7756
BS00473	1547248	REG0-5786	PM00217	PHOSPHO-NARL
BS00241	3888351.5d0	REG0-5458	PM00117	CPLX0-226
BS0-10869	612522	REG0-16438	TU0-198711	CPLX0-7639
BS0-7812	4097671	REG0-14946 // REG0-10575	PM0-46502 // PM00087	CPLX-124
BS0-8793	3401320.5	REG0-12985	PM186	MONOMER0-4536
BS0-7608	782003.5	REG0-9566	PM0-9995	CPLX0-7975
BS0-8761	4012842	REG0-12897	PM0-8601	PD00214
BS0-7330	2908879.5	REG0-5604 // REG0-5605 // REG0-5606	PM0-9576 // PM0-9575 // PM0-9574	PC00061
BS0-7182	3539966.5	REG0-6578	PM0-8860	CPLX0-7797
BS0-7189		REG0-6552	PM-8784	CPLX0-7797
BS0-7333	900653.5	REG0-6055	PM0-8542	CPLX0-228
BS0-8130	1103604	REG0-14995 // REG0-11245	PM0-46522 // PM00535	CPLX0-7748
BS0-7386	2800641.5	REG0-9040	PM0-1182	CPLX0-8061
BS0-3261	1488182.5d0	REG0-6001	PM324	MONOMER0-160
BS0-8395	1451473	REG0-11949	PM0-10436	G6706-MONOMER
BS0-8673	3303382	REG0-12707	TU0-13879	PD00406
BS0-8123	1905387.5	REG0-11238	PM0-46155	CPLX0-7639
BS0-1483	1556544	REG0-5615 // REG0-5614	PM00545 // PM00544	PD00353
BS00733	1311079	REG0-5738	PM00229	CPLX0-7639
BS00313	710793.5d0	REG0-5445 // REG0-5236	PM00164 // PM00348	CPLX0-226
BS00336		REG0-5821	PM00200	CPLX0-226
BS0-8769	2250780	REG0-12906	PM00264	PD00406
BS0-8752	3664849.5	REG0-12884	PM0-10288	EG12243-MONOMER
BS0-3521	3606397.5	REG0-16115 // REG0-16114	PM0-4863	CPLX0-7678
BS0-7472	2493514.5	REG0-9270	PM0-9855	PHOSPHO-EVGA
BS0-8224	2884399	REG0-11477	PM0-10544	PD00519
BS0-8705		REG0-12828	TU0-8339	PHOSPHO-PHOP
BS326	3777318	REG0-5127	PM224	EG11962-MONOMER
BS157	3536700	REG0-5112	PM221	PC00027
BS00642	932272	REG0-5240	PM00252	PD00353
BS0-7232		REG0-4487	PM00111	PD00288
BS0-7607	3354401	REG0-14889 // REG0-9557	PM0-46479 // PM00254	MONOMER0-155
BS0-7034	987160.5	REG0-15029 // REG0-4595	PM0-46528 // PM00066	CPLX0-7748
BS0-7618	468287	REG0-9583	PM0-10221	PD00365
BS0-7886	890851.5	REG0-10753	PM0-2281	PD04418
BS0-8834	3333507	REG0-14637 // REG0-13153	EG50001 // TU0-13885	G7072-MONOMER
BS00534	1299267	REG0-5562	PM00306	PD00353
BS0-7461	1230405.5	REG0-9255	PM681	CPLX0-8563
BS0-8831	3536761	REG0-14604 // REG0-13149	EG10672 // TU0-13931	G7072-MONOMER
BS0-7666	3088147.5	REG0-10090	PM0-7421	MONOMER-52
BS00420	849048.5	REG0-14941 // REG0-5763	PM0-46500 // PM00243	PC00027
BS0-8920	4148602	REG0-13278	TU0-14093	G7072-MONOMER
BS0-7558		REG0-9401	PM0-8915	PHOSPHO-DPIA
BS0-8178	652087	REG0-11382 // REG0-11374 // REG0-11372	PM0-10380 // PM0-9889 // PM0-10377	PHOSPHO-DPIA
BS0-5462	366338	REG0-4719	PM00045	PD00288
BS0-4861	4551358.5d0	REG0-6222 // REG0-4983	PM0-5201 // PM101	EG20249-MONOMER
BS0-5963	3088193.5	REG0-6117	PM0-7421	PD00261
BS0-8800		REG0-13113	PM0-46395	EG11849-MONOMER
BS0-7564	3656907	REG0-15109 // REG0-9407	PM0-46542 // PM928	MONOMER0-155
BS0-8527	3246424.5	REG0-12521	PM0-46365	EG20249-MONOMER
BS0-8134	2587452	REG0-11250	PM0-10482	CPLX0-7748
BS0-7807	1492290	REG0-10565	PM0-10039	CPLX0-7705
BS0-7691	1078911.5	REG0-10267	PM206	PUTA-MONOMER
BS0-2186	2718618	REG0-6358	PM0-3284	PD00214
BS00157	987268	REG0-15026 // REG0-4598	PM0-46528 // PM00066	PC00027
BS0-7467	29367	REG0-9263	PM00151	PD01352
BS0-6935	485720.5	REG0-6575 // REG0-4945	PM0-8705 // PM624	EG12116-MONOMER
BS0-4064	3305871.5	REG0-5481	PM00132	CPLX-125
BS0-8854	3267270	REG0-14658 // REG0-13174	EG10989 // TU0-13870	G7072-MONOMER
BS0-7234	3354420	REG0-14899 // REG0-5242	PM0-46479 // PM00254	PC00027
BS00778	1031779	REG0-5307	PM00664	CPLX0-7705
BS0-7766	4287608	REG0-10484	PM00280	CPLX0-7756
BS0-8836	1910270	REG0-13234 // REG0-13155	TU0-8715 // TU0-8841	G7072-MONOMER
BS163	385003	REG0-5111	PM502	CPLX0-2781
BS69	4287621	REG0-8994 // REG0-5958	PM00280	PHOSPHO-NARL
BS0-8340	1360957.5	REG0-11700 // REG0-11695	PM0-10351 // PM0-10033	EG12431-MONOMER
BS0-7183	3540040	REG0-6579	PM0-8860	CPLX0-7639
BS0-7772	2856946	REG0-10491	PM-8829	CPLX0-7756
BS0-8643	4568768.5	REG0-12668	TU0-14203	CPLX0-8563
BS0-7249	1330750	REG0-6378 // REG0-5081	PM00550 // PM00547	CPLX0-7705
BS0-8010	1572303.5	REG0-15053 // REG0-10955	PM0-46530 // PM450	EG12243-MONOMER
BS0-6621	1601470.5	REG0-5296	PM0-8241	CPLX0-8043
BS0-8623	379932	REG0-12654	TU0-12902	CPLX0-8234
BS0-6044	3244962.5	REG0-6227 // REG0-5767	PM0-5261 // PM00202	CPLX0-226
BS0-8942	684445.5	REG0-13307	TU0-13014	CPLX0-226
BS0-4127	4494513.5	REG0-6245 // REG0-6237	PM0-4922 // PM0-4921	PD03585
BS0-1961	3911552.5d0	REG0-14974 // REG0-5941	PM0-46514 // PM00285	PC00027
BS0-2403	1330851	REG0-5085	PM00547	CPLX0-7705
BS126	34162.5d0	REG0-5156	PM338	CPLX0-7797
BS0-2923	638947.5d0	REG0-5552	PM00102	CPLX0-7796
BS00104	365932	REG0-4721	PM00045	PD00763
BS190	4542897	REG0-5133	PM241	PD00353
BS0-4362	2832307	REG0-6587 // REG0-6263	PM0-9342 // PM0-4681	EG12108-MONOMER
BS0-2601	1287763	REG0-5622	PM00666	CPLX0-7705
BS0-7179	4274001.5	REG0-6144 // REG0-6140 // REG0-5544 // REG0-5532	PM00500 // PM00499 // PM00098 // PM00091	PHOSPHO-ARCA
BS0-7159		REG0-6524	PM0-8915	PD00288
BS0-8421	89603	REG0-12014	PM0-1101	EG11084-MONOMER
BS0-2966	4132562.5	REG0-4503	PM00054	CPLX0-7796
BS0-2846	4611164.5	REG0-15077 // REG0-5424	PM0-46534 // PM00529	CPLX0-226
BS0-10555		REG0-5419	PM981	PD00288
BS82	2512919.5d0	REG0-5818	PM00199	CPLX0-226
BS00719	1699218.5	REG0-5257	PM00260	PD00361
BS0-7967	3128201.5	REG0-10895	PM167	PC00061
BS0-10663	2473481	REG0-16130 // REG0-16127	TU0-13604 // TU0-13603	G7518-MONOMER
BS0-8487	1050718	REG0-12295	PM0-46352	G7947-MONOMER
BS0-8092		REG0-11110	TU0-13640	CPLX0-226
BS00536		REG0-5564	PM00308	PD00353
BS0-8476	1875584	REG0-12222 // REG0-12221	PM0-46338 // PM0-46339	G6976-MONOMER
BS0-8282	3790136.5	REG0-11578	TU0-42498	PHOSPHO-BASR
BS623	4348873	REG0-4919	PM00625	PHOSPHO-NARL
BS753	1668588	REG0-14921 // REG0-4842 // REG0-4840	PM0-46493 // PM935 // PM934	PD01896
BS00350	2543623	REG0-5848	PM00196	CPLX0-2781
BS0-8699	3340162.5	REG0-12817	PM0-46386	PD00365
BS0-8495	2434064	REG0-12323	PM00526	PD01520
BS0-6958	612666	REG0-6526 // REG0-5842	PM00343 // PM00225	CPLX0-7639
BS-7101	2825749.5d0	REG0-5572	PM00178	CPLX0-226
BS0-8441	2991305.5	REG0-12121	PM0-45513	CPLX0-2781
BS0-8032	3657770.5	REG0-10996	PM0-5982	EG12242-MONOMER
BS0-3803	4494513.5	REG0-6241 // REG0-6235	PM0-4922 // PM0-4921	MONOMER0-1301 // G7891-MONOMER
BS824	2231755	REG0-6013	PM1001	CPLX0-7740
BS115	1279728	REG0-4516	PM00060	PHOSPHO-NARL
BS0-4662	3737395.5	REG0-5592	PM00185	MONOMER0-158
BS0-22	4348741	REG0-4914	PM00625	PHOSPHO-NARL
BS0-3022		REG0-14925 // REG0-5146	PM0-46497 // PM327	PD00288
BS49	1547295	REG0-5784	PM00217	PHOSPHO-NARL
BS00089	2352492.5	REG0-4695 // REG0-4676	PM00039 // PM00037	CPLX0-226
BS0-6582	1572135.5	REG0-15062 // REG0-4991	PM0-46530 // PM450	CPLX0-226
BS0-1022	940856	REG0-6494	PM0-1282	PC00027
BS0-8233	3658353.5	REG0-11489	PM0-5982	EG11356-MONOMER
BS0-8763	2741193.5	REG0-12900	PM00010	PD04132
BS0-7141		REG0-5135	PM242	EG12123-MONOMER
BS0-8117	2911389	REG0-11222 // REG0-11218	PM622 // PM623	CPLX0-841
BS00574	954605.5d0	REG0-5180	PM00353	PC00027
BS0-6988	1277829	REG0-4526	PM00061	PHOSPHO-NARL
BS0-7594	4376526.5	REG0-9521	PM0-10214	PHOSPHO-OMPR
BS00004	70118	REG0-4766 // REG0-4760	PM00004 // PM00003	CPLX-172
BS0-8343	1361094.5	REG0-11702 // REG0-11698	PM0-10351 // PM0-10033	EG12431-MONOMER
BS0-10620	4556916	REG0-16077 // REG0-16076	PM0-46517 // PM0-10448	MONOMER0-160
BS0-3742	3906018	REG0-6251	PM0-5042	PD00288
BS0-8321	1628306	REG0-11643	PM0-10045	PHOSPHO-PHOB
BS0-6525	174952	REG0-6067	PM0-8186	PHOSPHO-PHOP
BS0-7780	2001813	REG0-10504	PM00626	CPLX0-7756
BS0-4347	3318576.5	REG0-6166 // REG0-4843	PM0-5741 // PM00672	CPLX0-228
BS0-8299	1100230	REG0-11619	PM0-44722	CPLX0-7740
BS0-8259	4166441	REG0-15236 // REG0-11527	PM0-46578 // PM00514	MONOMER0-155
BS0-7554	3730994	REG0-9393	PM70	CPLX0-7705
BS0-6999	1103342	REG0-15166 // REG0-5359	PM0-46559 // PM00536	CPLX0-7748
BS0-8322	595519	REG0-11645 // REG0-11644	PM0-2002 // PM0-2001	PHOSPHO-PHOB
BS0-7238	2914337.5	REG0-4604	PM0-9355	CPLX0-226
BS0-8959	4424698	REG0-14279 // REG0-13346	EG10905 // TU0-8613	EG12386-MONOMER
BS00735	1058006.5d0	REG0-5977	PM00298	PHOSPHO-TORR
BS0-2921	3086574.5d0	REG0-14911 // REG0-6391	PM0-46486 // PM0-1963	CPLX0-7796
BS0-8862	246149	REG0-14693 // REG0-14484 // REG0-13185	G6109 // G6110 // TU0-12848	G7072-MONOMER
BS0-7600	1298478	REG0-14878 // REG0-9546	PM0-46478 // PM00279	PD00353
BS00789	3982289	REG0-5416	PM00658	CPLX0-7705
BS0-3342	1292968	REG0-5682	PM00191	CPLX0-7705
BS0-8025	1572303.5	REG0-15051 // REG0-15050 // REG0-10980 // REG0-10979	PM0-46530 // PM450	EG12242-MONOMER
BS0-8563		REG0-12553	TU0-13869	G6247-MONOMER
BS0-7883	2884365	REG0-10735	PM0-10544	PD00288
BS0-7779	932379	REG0-10503	PM00252	CPLX0-7756
BS0-7298		REG0-5397	PM0-9517	PD00288
BS00502	1936430	REG0-5991	PM00295	PD04418
BS0-7166	2303689	REG0-6523	PM0-8920	G7326-MONOMER
BS0-6953	4215371.5	REG0-4755	PM00001	CPLX0-226
BS00058	940796	REG0-4819	PM00026	PHOSPHO-NARL
BS0-7674	2545689	REG0-14967 // REG0-10137 // REG0-10136	PM0-46511 // PM0-10276 // PM0-10275	CPLX0-7745
BS0-6954	624563.5	REG0-5407	PM00228	CPLX0-226
BS543	1165869	REG0-5796	PM00218	CPLX0-7705
BS00561	3577643.5	REG0-5269	PM00314	PD03585
BS0-8274	4635372.5	REG0-11566	PM0-8184	PD04418
BS0-8671	3303382	REG0-12706	TU0-13879	PD04418
BS0-6081	2716657	REG0-6136	PM00417	CPLX0-7748
BS00088	3561989.5d0	REG0-4691	PM00038	PD03576
BS0-3733	2788914	REG0-6308	PM0-4241	EG12386-MONOMER
BS0-1682	4240269	REG0-5421	PM0-2201	PHOSPHO-PHOB
BS00728	4100711	REG0-5527	PM00089	PC00027
BS0-7150	612543.5	REG0-6525	PM00343	CPLX0-7797
BS00655	3073893.5	REG0-15234 // REG0-5629	PM0-46577 // PM00591	CPLX0-226
BS0-8258	3244803.5	REG0-11525	PM0-5261	PD03270
BS00718	2339565	REG0-5713	PM00192	PD03695
BS0-7531	3128140	REG0-9369	PM167	CPLX0-7705
BS0-2422	2313044	REG0-14829 // REG0-5213	PM0-46465 // PM00401	PD00365
BS0-8523		REG0-12514	TU0-13218	G6664-MONOMER
BS00267	3552953.5d0	REG0-5473	PM00129	CPLX0-226
BS0-3814	3546390.5	REG0-6216 // REG0-6213 // REG0-5918	PM0-5168 // PM0-5167 // PM00315	PD03585
BS0-7158	4362119.5	REG0-5436	PM00159	CPLX0-7797
BS0-8962	491060	REG0-14274 // REG0-14236 // REG0-13351	EG10765 // EG10051 // TU0-12946	EG12386-MONOMER
BS625	4348763	REG0-4917	PM00625	PHOSPHO-NARL
BS0-10768		REG0-16323	PM0-1348	MONOMER0-46
BS0-6966	121971.5	REG0-14991 // REG0-5139	PM0-46520 // PM00324	CPLX0-226
BS00271	3305936.5d0	REG0-5478	PM00132	MONOMER0-162
BS0-7635	1930774.5	REG0-9605	PM0-10243	PC00010
BS0-1148	3927095	REG0-5967	PM00154	G7072-MONOMER
BS00153	1020230.5	REG0-4565	PM00064	CPLX0-226
BS759	1335740.5d0	REG0-4924	PM262	CPLX0-226
BS0-8759	2071291	REG0-12893	PM0-2881	PD00214
BS0-7647	2545721	REG0-14969 // REG0-9884 // REG0-9881	PM0-46511 // PM0-10276 // PM0-10275	CPLX0-7745
BS00744	1936427.5	REG0-5992	PM00295	PD00406
BS0-10872	4056532	REG0-16441	TU0-198713	CPLX0-7639
BS0-8619	3931199.5	REG0-12652	PM0-10156	CPLX0-7797
BS0-8290	1688549.5	REG0-11589 // REG0-11586	PM00371 // PM00146	CPLX0-226
BS0-8139	3867368	REG0-11255	PM0-4436	CPLX0-7748
BS0-8042	1592500.5	REG0-11035	PM0-8864	EG10442-MONOMER
BS0-7771	2856829	REG0-10490	PM-8829	CPLX0-7756
BS0-7462	1230390.5	REG0-9256	PM681	CPLX0-8563
BS0-7567	2041330	REG0-9412	PM0-8710	CPLX0-7680
BS00400	624731	REG0-5411	PM00228	CPLX0-7639
BS0-8309	794710.5	REG0-11631	PM0-46235	PD00365
BS0-8181	652028.5	REG0-11379 // REG0-11377	PM0-10377 // PM0-10380	CPLX0-7797
BS00393		REG0-5598	PM00172	CPLX0-7650
BS0-7736	250873.5	REG0-14976 // REG0-10437	PM0-46515 // PM0-10387	PC00010
BS0-7672	3656917.5	REG0-15102 // REG0-15094 // REG0-10992 // REG0-10133	PM0-46542 // PM928	EG12242-MONOMER
BS0-7927		REG0-10819	PM00137	CPLX0-7852
BS0-8229	84024	REG0-11485 // REG0-11484	PM0-46179	PD00519
