# Generated from the following BioVelo query on EcoCyc, 12:16pm, November 3, 2024: html-sort-ascending(html-table-headers([(x^?name, x^?frame-id, x^?associated-binding-site, x^?regulator, Evidence) : x<-ECOLI^^Regulation-of-Transcription-Initiation,  !(classp x), Evidence := (evidence x), [e:e<-Evidence]], ("Name", "Frame ID", "Associated Binding Site", "Regulators", "Evidence")), 2)
Regulation of cynT by DNA-binding transcriptional dual regulator Nac	REG0-14474	Nac DNA-binding-site (BS0-9811)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of glaH by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-14034	ArcA-Pasp54 DNA-binding-site (BS0-9454)	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-MICROARRAY
Regulation of pdeC by DNA-binding transcriptional dual regulator Nac	REG0-14790	Nac DNA-binding-site (BS0-10040)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of tam by DNA-binding transcriptional repressor GlaR	REG0-14283	GlaR DNA-binding-site (BS0-9632)	DNA-binding transcriptional repressor GlaR	EV-EXP-IEP-RNA-SEQ
Regulation of acpP by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-14026	ArcA-Pasp54 DNA-binding-site (BS0-9446)	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-MICROARRAY
Regulation of ybeT by DNA-binding transcriptional dual regulator Nac	REG0-13212	Nac DNA-binding-site regulating ybeT	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of purAp by DNA-binding transcriptional repressor PurR-hypoxanthine	REG0-6209	PurR-hypoxanthine DNA-binding-site 9.5 bases downstream of purAp	DNA-binding transcriptional repressor PurR-hypoxanthine	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yccT by ppGpp	REG0-13090		ppGpp	EV-EXP-IEP-MICROARRAY
Regulation of ygjH by DNA-binding transcriptional dual regulator Nac	REG0-13261	Nac DNA-binding-site regulating ygjH	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of micFp2 by DNA-binding transcriptional dual regulator MarA	REG0-14829	MarA DNA-binding-site 40 bases upstream of micFp2	DNA-binding transcriptional dual regulator MarA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of mazEp1 by MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor	REG0-11223	MazEF DNA-binding-site 7 bases upstream of mazEp1	MazE-MazF antitoxin/toxin complex / DNA-binding transcriptional repressor	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of arcAp3 by DNA-binding transcriptional dual regulator FNR	REG0-5166	Fnr DNA-binding-site 82.5 bases upstream of arcAp1	DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of cddp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-6012	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 42.5 bases upstream of cddp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hdeAp by DNA-binding transcriptional dual regulator GadX	REG0-10988	GadX DNA-binding-site 115.5 bases upstream of hdeDp2	DNA-binding transcriptional dual regulator GadX	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hdeAp by DNA-binding transcriptional dual regulator GadX	REG0-10958	GadX DNA-binding-site 115.5 bases upstream of hdeDp2	DNA-binding transcriptional dual regulator GadX	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of murQp1 by DNA-binding transcriptional dual regulator MurR	REG0-10136	MurR DNA-binding-site 44 bases upstream of murQp	DNA-binding transcriptional dual regulator MurR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP
Regulation of fabAp by DNA-binding transcriptional repressor FabR	REG0-5476	FabR DNA-binding-site 19.5 bases upstream of fabAp	DNA-binding transcriptional repressor FabR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hdeAp2 by DNA-binding transcriptional dual regulator GadW	REG0-15097	GadW DNA-binding-site 53.5 bases upstream of hdeAp2	DNA-binding transcriptional dual regulator GadW	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of gadBp by DNA-binding transcriptional dual regulator GadX	REG0-12876	GadX DNA-binding-site 268 bases upstream of gadBp2	DNA-binding transcriptional dual regulator GadX	EV-EXP-IEP-RNA-SEQ
Regulation of degPp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-4882	CpxR-phosphorylated DNA-binding-site 223 bases upstream of degPp	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-QRTPCR
Regulation of yniB by DNA-binding transcriptional dual regulator Nac	REG0-14806	Nac DNA-binding-site (BS0-10053)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of fbaB by ppGpp	REG0-13026		ppGpp	EV-EXP-IEP-MICROARRAY
Regulation of glgSp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5264	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 40.5 bases upstream of glgSp1	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hybOp1 by DNA-binding transcriptional dual regulator NarL-phosphorylated	REG0-5070	NarL-Pasp59 DNA-binding-site 51 bases upstream of hybOp1	DNA-binding transcriptional dual regulator NarL-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of galP by DNA-binding transcriptional dual regulator OmpR-phosphorylated	REG0-16089	OmpR-P DNA-binding-site (BS0-10629)	DNA-binding transcriptional dual regulator OmpR-phosphorylated	EV-EXP-IEP-RNA-SEQ
Regulation of rrsCp1 by NhaR-Na+ DNA-binding transcriptional activator	REG0-16326	NhaR-Na+ DNA-binding-site regulating rrsCp1	NhaR-Na+ DNA-binding transcriptional activator	EV-EXP-IEP-BETA-GAL
Regulation of narKp1 by DNA-binding transcriptional dual regulator FNR	REG0-4537	Fnr DNA-binding-site 41.5 bases upstream of narKp1	DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-MICROARRAY
Regulation of grcAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-6518	ArcA-Pasp54 DNA-binding-site 99 bases upstream of grcAp1	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of cspDp by ppGpp	REG0-12924		ppGpp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yhhA by DNA-binding transcriptional dual regulator Lrp	REG0-15630	Lrp DNA-binding-site (BS0-10399)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of pstSp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	REG0-5943	PhoB-Pasp53 DNA-binding-site 54 bases upstream of pstSp2	DNA-binding transcriptional dual regulator PhoB-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of paaZ by DNA-binding transcriptional activator YgfI	REG0-16121	YgfI DNA-binding-site 60 bases upstream of paaAp	DNA-binding transcriptional activator YgfI	EV-EXP-IEP-RNA-SEQ
Regulation of nrdDp by DNA-binding transcriptional dual regulator H-NS	REG0-11892	H-NS DNA-binding-site regulating nrdDp	DNA-binding transcriptional dual regulator H-NS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of dadAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5288	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 7 bases downstream of dadAp2	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ptsGp2 by DNA-binding transcriptional dual regulator Fis	REG0-6514	Fis DNA-binding-site 122 bases downstream of ptsGp2	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of gadBp2 by DNA-binding transcriptional dual regulator GadW	REG0-15048	GadW DNA-binding-site 210.5 bases upstream of gadBp2	DNA-binding transcriptional dual regulator GadW	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of gadE by DNA-binding transcriptional dual regulator TorR-phosphorylated	REG0-16045	TorR-Pasp DNA-binding-site (BS0-10589)	DNA-binding transcriptional dual regulator TorR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ
Regulation of fumCp2 by DNA-binding transcriptional dual regulator SoxS	REG0-5872	SoxS DNA-binding-site 19.5 bases downstream of fumCp2	DNA-binding transcriptional dual regulator SoxS	EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yadVp2 by DNA-binding transcriptional dual regulator IHF	REG0-5620		DNA-binding transcriptional dual regulator IHF	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ygbKp by FlhDC DNA-binding transcriptional dual regulator	REG0-4615	FlhDC DNA-binding-site 629.5 bases upstream of ygbKp	FlhDC DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of exbB by DNA-binding transcriptional dual regulator Lrp	REG0-15448	Lrp DNA-binding-site (BS0-10217)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of carAp1 by DNA-binding transcriptional dual regulator Fis	REG0-9311	Fis DNA-binding-site 81 bases upstream of carAp1	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of osmYp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5429	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 1.5 bases downstream of osmYp2	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ndhp by DNA-binding transcriptional dual regulator IHF	REG0-5797	IHF DNA-binding-site 26 bases downstream of ndhp	DNA-binding transcriptional dual regulator IHF	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of rstA by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-14098	ArcA-Pasp54 DNA-binding-site (BS0-9509)	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-MICROARRAY
Regulation of fadHp by DNA-binding transcriptional dual regulator FadR	REG0-10823	FadR DNA-binding-site 4 bases downstream of fadHp	DNA-binding transcriptional dual regulator FadR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yebK by DNA-binding transcriptional repressor YebK	REG0-12291	YebK DNA-binding-site regulating yebK	DNA-binding transcriptional repressor YebK	EV-COMP-IBA,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of fdhFp by FhlA-formate DNA-binding transcriptional activator	REG0-5773	FhlA-formate DNA-binding-site 129.5 bases upstream of fdhFp	FhlA-formate DNA-binding transcriptional activator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hcpp1 by DNA-binding transcriptional dual regulator NsrR	REG0-8944	NsrR DNA-binding-site 6 bases downstream of hcpp1	DNA-binding transcriptional dual regulator NsrR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of fumD by DNA-binding transcriptional dual regulator Cra	REG0-16561	Cra DNA-binding-site (BS0-10952)	DNA-binding transcriptional dual regulator Cra	EV-EXP-IEP-RNA-SEQ
Regulation of ybeQ by DNA-binding transcriptional dual regulator Nac	REG0-13211	Nac DNA-binding-site regulating ybeQ	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of ygiV by DNA-binding transcriptional dual regulator Lrp	REG0-15621	Lrp DNA-binding-site (BS0-10390)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of uspAp1 by DNA-binding transcriptional dual regulator FadR	REG0-5232	FadR DNA-binding-site 5 bases downstream of uspAp1	DNA-binding transcriptional dual regulator FadR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of aidBp1 by isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	REG0-10863	AidB DNA-binding-site 48 bases upstream of aidBp2	isovaleryl-CoA dehydrogenase and DNA-binding transcriptional repressor	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hyaAp2 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-14853	ArcA-Pasp54 DNA-binding-site 7.5 bases upstream of hyaAp2	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ybgC by DNA-binding transcriptional dual regulator Nac	REG0-14705	Nac DNA-binding-site (BS0-9987)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of glgCp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5447	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site regulating glgCp1	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hyaAp2 by DNA-binding transcriptional dual regulator Fis	REG0-14855	Fis DNA-binding-site 21 bases upstream of hyaAp2	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of adap2 by DNA-binding transcriptional dual regulator / DNA repair protein Ada	REG0-15125	Ada DNA-binding-site 58.5 bases upstream of adap2	DNA-binding transcriptional dual regulator / DNA repair protein Ada	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of cydAp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-5501	ArcA-Pasp54 DNA-binding-site 293 bases upstream of cydAp1	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of qmcA by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-16212	CpxR-phosphorylated DNA-binding-site (BS0-10722)	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IEP-QRTPCR
Regulation of proPp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5780	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 34.5 bases upstream of proPp1	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of asd by DNA-binding transcriptional dual regulator ArgP	REG0-11260	ArgP DNA-binding-site regulating asd	DNA-binding transcriptional dual regulator ArgP	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ubiGp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5701		CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of hdeAp2 by DNA-binding transcriptional dual regulator TorR-phosphorylated	REG0-15117	TorR-Pasp DNA-binding-site 27.5 bases upstream of hdeAp2	DNA-binding transcriptional dual regulator TorR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-RNA-SEQ
Regulation of glpAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-4679	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 91.5 bases upstream of glpTQp	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of insH3 by DNA-binding transcriptional dual regulator Lrp	REG0-15486	Lrp DNA-binding-site (BS0-10255)	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ
Regulation of iraPp1 by DksA-ppGpp	REG0-12767		DksA-ppGpp	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IDA-PURIFIED-PROTEIN,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IDA-PURIFIED-PROTEIN
Regulation of entD by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	REG0-16527	DNA-binding transcriptional dual regulator Fur DNA-binding-site (BS0-10928)	[2Fe-2S] cluster DNA-binding transcriptional dual regulator	EV-EXP-IEP-RNA-SEQ
Regulation of gndp by DNA-binding transcriptional dual regulator FNR	REG0-11067		DNA-binding transcriptional dual regulator FNR	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of fimBp2 by DksA-ppGpp	REG0-12618		DksA-ppGpp	EV-EXP-IDA-BINDING-OF-PURIFIED-PROTEINS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of yfcO by DNA-binding transcriptional dual regulator Nac	REG0-14741	Nac DNA-binding-site (BS0-10008)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of csgDp1 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	REG0-5358	CpxR-phosphorylated DNA-binding-site 21.5 bases upstream of csgDp3	DNA-binding transcriptional dual regulator CpxR-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ppiAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-5336	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 12.5 bases downstream of ppiAp4	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of sgcXBCQAER by DNA-binding transcriptional dual regulator SlyA	REG0-12667	SlyA DNA-binding-site regulating sgcXBCQAER (BS0-8641)	DNA-binding transcriptional dual regulator SlyA	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of nusA by DNA-binding transcriptional dual regulator Nac	REG0-14599	Nac DNA-binding-site (BS0-9890)	DNA-binding transcriptional dual regulator Nac	EV-EXP-IEP-RNA-SEQ
Regulation of rrsAp by DNA-binding transcriptional dual regulator Fis	REG0-14845	Fis DNA-binding-site 133 bases upstream of rrsAp	DNA-binding transcriptional dual regulator Fis	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of ybiU by DNA-binding transcriptional dual regulator ArcA-phosphorylated	REG0-14113	ArcA-Pasp54 DNA-binding-site (BS0-9521)	DNA-binding transcriptional dual regulator ArcA-phosphorylated	EV-EXP-IEP-MICROARRAY
Regulation of csgDp3 by DNA binding transcriptional dual regulator BolA-phosphorylated	REG0-15737		DNA binding transcriptional dual regulator BolA-phosphorylated	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of gntTp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	REG0-6214	CRP-cyclic-AMP DNA-binding transcriptional dual regulator DNA-binding-site 112.5 bases upstream of gntTp2	CRP-cyclic-AMP DNA-binding transcriptional dual regulator	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-TAS
Regulation of dadAp3 by DNA-binding transcriptional dual regulator Lrp	REG0-11425	Lrp DNA-binding-site 279 bases upstream of dadAp3	DNA-binding transcriptional dual regulator Lrp	EV-EXP-IEP-RNA-SEQ,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS,EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
Regulation of tolCp4 by DNA-binding transcriptional dual regulator SoxS	REG0-9781	SoxS DNA-binding-site 40.5 bases upstream of tolCp3	DNA-binding transcriptional dual regulator SoxS	EV-EXP-IEP-GENE-EXPRESSION-ANALYSIS
