Promoter Name	Absolute-Plus-1-Position
ygcNp3	2892572
mltFp	2695767
aptp	491310
adap	2310427
thyAp	2965254
dsbCp2	3039633
xseAp	2634197
lpxCp1	106508
ilvCp	3957912
hupBp4	461305
ydcXp9	1517354
ybgIp1	742619
holDp	4607781
ydaSp2	1420277
ygfZp	3041282
yagEp3	282223
casDp	
yraRp	3298897
potDp5	1182848
mazEp1	2911368
araFp2	1986148
lysCp1	4233539
yfbLp9	2385769
erpAp	176561
rutRp2	1074113
dacAp2	663967
yibDp1	3790149
yfdFp7	2462984
tusp2	1684173
xapRp1	2522505
lspAp	25014
xdhAp2	3000265
cysCp3	2874028
yeiQp6	2266214
nmpCp	576870
pldBp4	4009023
ypjBp	2784818
pspFp3	1368040
puuDp	1361052
aisp8	2365698
yghWp6	3146753
yedDp5	2008261
xseBp	441373
ytfQp6	4449817
ykgJp2	304258
yqjFp2	3250466
ycgNp5	1228750
yijOp5	4148429
ybbOp4	519329
ybfAp8	729082
gapAp7	1862240
ygbFp	2878915
cspAp2	3719940
yjgBp8	4496349
yhiMp10	3634635
yifBp8	3950027
gadCp6	1570577
aroPp2	121650
racCp6	1417815
codBp	354884
ecop7	2303851
yibGp6	3768064
yedJp4	2033223
hisBp	2093360
tynAp	1451409
malEp	4246464
opgGp	1109257
ygiQp5	3161182
comRp	1168844
yhgAp6	3543147
glnSp	705999
ppiDp1	461838
yjaGp4	4199373
rfcp10	2107283
yedEp8	2008155
yfbNp8	2388554
cdsAp2	195561
ybhKp	816692
insHp5	2103090
yghDp3	3111276
nadAp	782061
murQp2	2545741
kduIp5	2984194
pykFp4	1755600
ilvEp3	3952388
ygcGp7	2905605
cyaRp	2167114
yhdHp1	3403280
yecTp3	1961931
cybBp5	1490761
rhsBp8	3619178
nlpDp1	2868829
ppiAp2	3492395
yrdAp	
nfuAp1	3545596
yagNp3	295660
ybeFp4	661460
yceHp4	1126077
frrp	192814
rncp	2704223
ldhAp	1442915
insHp3	3653268
pstBp1	3908556
rhoLp	3966162
hemNp	4051943
yjjAp8	4600210
acnBp2	131564
dsbBp6	1233147
yccFp	1024365
moeAp	866394
ftsZp3	104693
ydiPp	1779328
argPp	3059730
mcbRp3	1520096
yjgNp7	4479664
rpsUp2	3210712
infAp1	926685
rlmFp7	842224
ychHp	1258738
yfhRp2	2664244
mhpRp2	368528
mgrRp	1622914
dedDp3	2431875
ulaGp	4419675
rpmAp4	3333225
yahOp	346432
pcnBp4	159391
acnAp1	1335424
yjhUp1	4520381
elaAp3	2381614
yjaAp3	4213224
hdeDp2	3656960
mmuPp1	275119
crpp1	3485953
clpPp3	456605
pncCp	2824394
argQp	
yebBp1	1946110
yiaDp3	3716479
ygbIp6	2861362
ydeNp3	1582729
ydhIp	1720998
ycgBp	1237285
yjcSp	
ydaSp4	1420260
cfap2	1741379
arcAp5	4640681
sfmCp4	558807
yneEp7	1609140
fadDp	1889807
mdtEp2	3659140
hcaTp7	2668053
serBp	4624856
phoPp2	1190508
ygdIp7	2943229
yjcOp2	4297151
yegJp7	2151016
tufAp2	3471583
sdsNp2	1996880
ygbAp	2856828
dbpAp2	1409338
ytfHp6	4434104
ackAp	2413459
usgp	2436890
ygdGp2	2930873
serSp	939365
ynaIp	1395973
mdaBp7	3172407
talBp	8191
crlp1	257810
glcDp	3128076
rplSp1	2744642
ypfGp3	2582893
yeaIp6	1870243
bfrp3	3466749
yjbEp2	4235872
yjcOp5	4297222
yhcNp6	3385481
umuDp	1230738
fsrp8	504767
cynRp	358709
ssrSp	3055759
ygeIp8	2993603
ppsRp1	1787339
clpBp2	2734205
enop8	2907968
yfjIp3	2758978
neip	745904
ycjGp	1388874
atpBp1	3922270
yafCp6	231083
arcAp7	4640801
yeaOp4	1876777
adep6	3843901
ldtBp	855786
yadSp7	177757
ydjAp	1848700
mdtEp3	3659145
bcsEp1	3696443
uhpBp	3850294
cyaRp2	2167114
pqiAp	1011659
yccXp4	1030061
chbGp4	1817242
pcnBp	159171
flgKp	1138351
tyrRp	1386692
xtpAp	345252
rarDp4	4004241
yihXp	4075548
tabAp4	4474834
ygeIp7	2993591
napFp3	2303695
surEp2	2870686
lipBp2	662401
yfaLp7	2344284
nudBp	1948674
yfcDp	
rtcAp1	3556880
yfjPp6	2767644
hlyEp	1230466
yjjLp7	4594837
queAp	424985
ibaGp4	3336983
putPp4	1079210
asrp2	1671327
greBp8	3536744
rpoSp	2868118
yghTp11	3133982
cspIp2	1638712
sufAp	1764418
rnap	645034
panCp4	148910
yicJp	3836664
hinTp3	1161827
yqjAp2	3247643
katEp	1813814
idlPp	4556856
pptAp6	1532867
pflBp2	953641
yhfYp1	3511617
evgLp1	2483641
yqjHp4	3216539
yjcDp5	4278466
fdrAp4	546506
dedDp2	2431868
yjiAp7	4589048
proBp11	260303
ypfMp	2590970
rcsBp1	2315695
hycAp	2850461
dusBp	3410246
mreDp2	3399083
yojIp	2308641
yohOp6	2215586
argRp2	3384602
yhiNp6	3637500
yqhGp	3157545
slyAp14	1720865
yohJp	2230509
yddJp8	1544758
bamEp	2753486
omrAp	2976189
yjeIp	4372761
yjiJp4	4562682
ppiAp1	3492335
yhaHp7	3252249
ybeTp8	679416
groLp1	4370783
pstBp3	3908447
ydcFp3	1487202
cydAp5	771368
chbBp	1821726
frlAp17	3499759
uvrDp1	3997907
sdiAp1b	1996910
mnmAp	
plsBp1	4256598
cbpAp6	1064037
leuEp4	1880767
ynjFp6	1841611
dnaNp1	3882733
ydcYp3	1517610
tsrp1	4591412
hslRp	3529110
nimTp	1875657
nhaAp2	17317
yraHp6	3287291
dhaRp	1251003
ybaQp	508191
pykFp1	1755663
rhtAp8	850304
yghQp7	3132525
aisp7	2365754
yhdWp	3418972
ybjEp3	914901
sutRp	1506150
macBp2	920337
yodCp6	2028504
yhfLp7	3499413
yiaFp	3719097
yjiTp	
ssuEp	997563
mcrAp10	1210195
mscSp	3069871
yaiZp	399454
gpmAp4	787632
ycaDp6	945839
cydDp	931031
mutLp2	4397046
proVp3	2804755
crpp2	3486031
adap2	2310427
csgDp3	1103344
yadNp1	156984
yifBp6	3950175
creDp	4638160
yqhHp4	3158421
dgcZp	1623879
iapp6	2876544
dhaMp	
thrUp	4175381
gntRp4	3578880
mngRp	765926
ppiCp	3959841
csrBp	2924524
lacZp2	366365
ykgBp10	318334
pspFp1	1367945
mltAp6	2947273
fliFp1	2013146
aspSp2	1950617
yghJp7	3119266
topAp	1330789
ycaKp3	949547
htgAp2	10643
narKp1	1277932
yhhMp1	3605794
ycjZp7	1391872
cbrBp3	3897479
rrlAp	
pabAp	3490851
dcpp3	1627422
ilvAp	3955235
glnDp	188655
trpAp5	1317306
mhpAp	368519
yeeZp5	2089211
fixAp	42325
ppiAp4	3492449
lptAp1	3343326
recFp1	3881841
yodBp13	2042308
lpxTp	2268826
rrsEp1	4207863
yfjJp6	2760507
yibAp	
fliAp1	2001819
ppdAp	2964220
cydAp1	771170
aspUp	
dedAp2	2434940
yciCp	1313698
ybaPp6	508284
mdtJp	1673779
argIp	4478344
ruvAp1	1946024
ybcJp7	557025
lacIp	367538
yeaJp6	1871937
feaRp1	1447349
flgNp1	1129914
ycaMp4	947127
mipAp	1866506
yfdPp5	2473422
infCp2	1800818
yecDp7	1950760
metRp2	4012837
kupp1	3931103
lpxLp	1116709
adhEp	1298413
nuoMp	
uspAp1	3639983
yjjAp1	4600337
pnpp	3311326
purRp	1737689
yieHp6	3896762
tktBp	2579308
ykfBp1	266158
dnaKp2	12123
yagNp4	295671
yhaBp3	3267816
mqop8	2306846
cohEp9	1203014
ynjIp4	1844902
grxBp4	1124083
yoaEp	1901772
rseDp1	2710339
rpoBp	4181063
yhhYp	3581111
ydgKp	1705207
yagLp7	294031
fsrp5	504852
yfbPp7	2388995
typAp1	4058230
ompAp2	1020187
cobTp8	2064601
mntRp4	853135
ynfKp6	1667335
pmrDp4	2373566
yjiKp7	4563730
yceOp1	1119511
ykgCp8	320088
rfcp7	2107394
yhaIp11	3252783
ybiVp5	860088
ybdDp2	631991
yodBp16	2042294
ilvLp1	3950218
murQp	2545733
citCp2	652039
acsp	4287391
icdAp2	1194961
bssSp2	1121032
insFp4	1095196
pinQp1	1633584
insHp4	2103093
setCp10	3836768
yicCp	3816645
rluFp6	4230162
envRp15	3413621
gclp	533907
ubiEp4	4018747
ucpAp2	2544671
ycdUp1	1095693
yqeKp11	2990368
glpRp1	3560891
ybjCp	890892
yhcOp1	3386210
ecpBp2	310076
ygiWp5	3169887
bamAp2	197026
ybaPp3	508262
ybjQp	904517
pyrHp	191812
moaBp	817977
oxcp11	2492144
gcvTp	3050772
ssrAp	2755586
yeiHp7	2249666
pheVp	3110365
xthAp	1832399
aaeBp8	3388258
yjdCp	4363330
motRp	1977302
thiMp	2185451
caiCp	
yhcFp1	3366720
ugpBp1	3592378
sixAp2	2456999
apaHp4	51293
bluFp	1215506
patDp4	1515440
yifBp9	3949984
lysUp1	4354805
gltAp2	754670
ydeQp	
waaAp1	3808516
yjdLp3	4356517
ycdUp9	1095633
uspCp8	1979586
nfeRp	3216753
rpmIp	1800427
yfeHp3	2526933
pykAp	1937544
mreCp	
yfgMp1	2639433
ssbp2	4274080
ppiAp3	3492430
tsxp1	432245
lysTp	780514
hemLp	174921
yicOp11	3843819
ftsQp2	102742
yihDp	4042049
yehAp6	2188472
symRp	4579835
xanPp5	3828821
yrbNp1	3308086
yfjPp8	2767540
entSp1	622258
cysGp1	3497754
mepSp2	2269811
dinDp	3817699
ppsRp8	1787351
rnep2	1144762
yggIp5	3089749
gadBp2	1572072
adhEp1	1298413
pgip2	4233722
yjbLp5	4260159
cysSp	554577
glnHp2	848047
hofMp	3522928
racRp5	1420242
ybeQp1	676706
araFp3	1986238
yciWp4	1350236
nuoAp2	2405162
yqjHp5	3216536
mcbAp5	842153
ftsKp3	933218
hcpp1	913845
ycaRp	970642
uvrCp3	1994879
yceFp6	1146761
fsrp6	504847
malTp	3553024
leuXp	4496386
insHp7	1395971
gspAp4	3455634
menAp2	4120406
nfuAp2	3545458
dicBp	1649597
metGp2	2193758
bioHp	3544858
tprp1	1287188
ydcSp9	1511453
pykFp5	1755663
hsrAp6	3940706
emtAp4	1243125
stpAp1	2798536
yecDp8	1950636
dinIp	1121509
yigFp5	4002842
ydbJp	1441029
ycdZp4	1100252
rimKp	891876
srlAp	2825791
fsaAp6	863530
sdiAp6	1996851
ydcLp5	1502446
argEp1	4154897
yhjEp9	3674757
rsuAp3	2280548
yhjXp6	3712097
ugpBp2	3592426
ycaKp5	949643
phoPp1	1190483
proVp2	2804599
ribEp	434504
hupBp2	461395
mutLp1	4397100
cpxAp1	4105101
yffOp8	2561902
bepAp1	2616068
gapAp3	1862597
ddpXp3	1563249
csiEp2	2665401
sibAp	2153311
yfgHp10	2629672
ompFp	987092
rfaDp2	3793896
yqfAp10	3043364
yjgRp3	4490085
yeeNp7	2056754
rpsPp	2746254
queEp7	2905606
insIp5	4508686
feaRp3	1447394
yhaIp10	3252761
pyrFp	1341870
bisCp6	3716484
ynjHp1	1842163
yniDp6	1805101
yiaUp11	3751896
rhaDp	4094385
rdcAp1	4327079
norRp	2832307
yfeCp5	2518334
gcdp1	141263
entCp	624831
cspHp8	1051205
hisSp	2640642
pspFp2	1367929
lppp2	1757296
ynfEp2	1658003
yaaIp4	11825
yjjBp	4602177
rpoNp	3344662
yafZp	268026
osmBp1	1343476
ftnAp	1988682
fadRp2	1234916
yiaBp5	3727767
yjiLp3	4564802
yebAp5	1941833
rrsHp1	223485
dacAp3	664001
rodZp2	2642934
yfbLp7	2385828
entHp	629292
ynfLp6	1669652
glcCp	3128206
yjiYp3	4591347
yhcBp	3380182
allRp	
rfbXp6	2109586
hsdSp1	4581502
hypFp3	2838105
secGp1	3322587
degQp1	3380654
mreBp3	3401356
mlaFp1	3340132
rraBp2	4478445
yaiIp6	405708
ybcKp5	568810
aceEp1	122969
ydiHp2	1765291
ndhp	1165992
ytfHp5	4434082
cnup9	1704761
cycAp	4429780
ispGp5	2641954
glnEp7	3199694
ymdAp	1105201
ybdJp4	606223
rfaEp1	3196926
pyrEp4	3815985
ycjWp2	1383991
yeaGp1	1866815
yfaLp3	2344265
pfkBp2	1806323
araBp	70075
envRp14	3413633
yncDp11	1523276
yhcMp4	3380119
smpBp5	2754767
csgBp	1103859
amiAp	2552241
feaBp1	1447492
yghJp6	3119320
yejKp5	2284109
glsAp	511573
yfdFp8	2462985
otsAp	1981651
aceEp2	122969
ydeOp	
ybgOp3	749185
rtnp1	2270678
ibaGp1	3336833
trpAp8	1317241
yejOp	2289176
glpTQp	2352451
azoRp6	1482927
ybjMp8	889885
oppAp	1301085
ydiUp	1791254
mpaAp4	1390639
gorp2	3646112
rbsDp	3933322
aroLp1	406280
kdpFp	728849
purTp	1930857
panDp2	146754
purUp4	1288756
carAp1	29551
kdsAp	1267854
ydcIp4	1495117
yodBp14	2042261
mntRp5	853083
ynjFp	1841432
yhiMp11	3634817
yeiWp	2265330
pspBp	
uspGp	641903
sbcCp2	415847
yadCp	
yebVp6	1921725
deoCp2	4617278
cbpAp2	1063828
yeiBp2	2243073
ymjAp5	1357810
mcaSp	1405751
kdgRp1	1910253
yjjPp	4603034
hdeAp2	3656791
thiQp2	73085
chiXp	507204
tdcRp5	3267226
poxBp2	911076
nacp	2061978
aroKp2	3519167
lpxDp	200960
rseDp2	2710339
bolAp1	454434
rntp	1728320
yajIp6	433034
tsaDp2	3210628
acsp2	4287391
yoaBp2	1893321
lplAp2	4624238
fecEp4	4511644
dnaNp4	3882348
pykAp3	1937494
allBp3	538944
acrDp2	2587550
rplYp6	2282438
flhDp	1978395
mugp6	3215496
ruvAp2	1946016
fumDp5	1755167
ydcZp1	1518375
yfiLp9	2741315
hfqp2	4399801
ppnPp	408148
agrBp	3648294
mtrp2	3305860
uxuRp	4554458
slyDp6	3478699
yoaCp7	1894112
btuEp2	1794129
yejAp	2272312
omrBp	2976385
ytfFp6	4433131
atpIp	3922525
enop3	2908846
rpoHp1	3601003
yfeAp5	2517869
rpiBp	4313257
dinBp2	250880
tsgAp	3492519
valSp1	4483927
yffOp	2562053
iraMp2	1212123
galSp	2241710
yraHp8	3287276
kdsCp2	3342010
rcsCp5	2319979
ppsRp6	1787383
yfgGp	2629252
basSp4	4333477
pdeLp2	331873
selUp4	531358
dnaNp2	3882590
cobUp2	2065972
yqcAp5	2923050
ybdHp6	633517
yqeIp5	2988436
gntUp2	3577085
yadSp5	177786
mlaFp2	3340121
yhjKp2	3685648
yhiLp	
dpiBp1	651984
ubiTp1	3301368
artPp3	903843
mscKp	486492
nepIp	3841771
dnaNp5	3882348
nlpCp5	1792760
ycgYp6	1245101
icdAp1	1195008
mdhp2	3384470
yggEp2	3068185
cspFp6	1641765
ompTp	585665
ftsLp2	91012
dgoRp	3875185
yebCp	1948185
ypfMp2	2591070
mngAp	765811
yraHp10	3287362
pcnBp2	159195
ygbNp2	2864907
hipBp	1592482
ydjFp7	1854886
deoAp	
yhbUp1	3301329
yjhBp5	4504006
yegTp	2178781
ynfTp	1632723
ghxPp	4278321
ykgEp7	321511
ybeDp2	662706
yfbOp5	2388458
aaeBp3	3388263
hokCp4	16951
ascGp	2839287
rpmHp1	3884111
cyaYp5	3994083
fliLp2	2019595
pflDp4	4143858
cspHp14	1051304
matAp10	311460
ssrAp2	2755507
yceJp2	1119071
yiaBp6	3727827
fusAp	3473685
rrsBp1	4166367
aesp	500051
gcvRp1	2599879
flgBp	1130993
ygiNp2	3173078
nanRp9	3374703
furpa	710716
rmfp	1015650
cvpAp1	2430800
gltXp1	2520784
arrSp2	3658054
kdgRp8	1910125
yadDp5	146957
fruRp8	87947
yibBp9	3793730
tehAp	1500536
yaaUp	45592
tsrp2	4591633
ybhHp7	800694
yjjZp	4605777
ybaBp	493709
iadAp3	4559537
yjhGp4	4524226
aidBp1	4414247
esrEp	4019978
uspCp6	1979619
dinGp	833073
ghrAp6	1097824
alaEp1	2799070
caiEp5	35440
yghQp8	3132523
ygeIp6	2993581
tdkp8	1293493
setCp14	3836744
pssAp4	2722578
alsRp2	4313137
ppdDp	117705
aslBp	3982781
ydjXp5	1833217
yigFp4	4002875
ybiAp6	832960
dolPp1	3296349
ychJp	1289177
yggNp2b	3101640
gntRp1	3578749
yaiIp7	405698
deoCp1	4616679
ykgEp8	321484
iraPp1	401319
rpoEp5	2710165
potEp1	718344
glpFp	4118161
yijPp9	4150311
yigIp	4004724
mtfAp1	2043618
cldp10	2098475
yphBp2	2674795
dsdAp	2479121
hyuAp1	3009919
aroGp	785591
rfaDp3	3793865
ygjQp6	3236462
cadCp	4361963
sgrSp	77367
uspEp	1398659
sixAp	2456999
bglGp1	3906697
mrcAp	3522826
rplYp5	2282437
yeiRp3	2267742
yfjIp10	2758928
rlpAp5	665222
relAp2	2914277
ygdRp5	2971247
hslOp3	3529733
yhjXp	3712043
metAp2	4214159
lolCp5	1175399
tyrPp1	1989645
insAp14	4518379
rpmBp	3811995
fimBp1	4540809
udpP	4016391
fkpAp2	3477499
mepKp	983023
hscCp7	683594
phoEp	260158
yadVp3	156214
ftsHp1	3327102
yjgZp1	4501058
maeAp4	1555727
yedVp6	2038202
patAp2	3219458
alxp3	3238555
yhaKp3	3254291
alaXp2	2518279
rnkp7	644180
yhdUp1	3412497
pbpCp2	2647368
flhBp	1966216
lepBp1	2705464
ygcGp6	2905666
tgtp	426055
cmkp	961165
ppap	4449686
ybdKp3	607561
ybhBp2	808035
yfbKp7	2385905
rplNp	3448222
rmfp5	1015503
rpoHp2	3601003
mdtKp9	1743375
ydaSp6	1420343
enop7	2908152
ycdUp11	1095759
aspSp1	1950701
ygdIp10	2943263
yafVp	240216
rpiAp	3059353
yjhBp4	4504005
polBp	65803
lexAp	4257087
zntRp2	3439168
canp2	142703
yqeIp7	2988423
rfbXp5	2109676
yhbUp5	3301437
treBp	4466210
hmpp	2685797
tomBp	480794
yijEp5	4136089
puuCp	1362728
ydeEp4	1621264
cyaAp2	3990774
frdDp7	4379474
yjtDp6	4640898
folBp5	3204648
efeOp1	1082243
leuOp1	84154
umpHp	700352
ffsp7	476422
casAp	2884319
matAp9	311432
rnlAp1	2765906
sdiAp2	1996897
rclAp	320215
ansBp2	3100751
ligBp1	3821256
gadAp2	3667607
yeiWp6	2265420
rhsBp11	3619003
ydhFp1	1725648
nadBp	2710357
yhhXp4	3580859
yhjRp11	3696367
dxrp5	193411
ymgEp6	1244579
ycgVp10	1256111
yjeJp6	4374403
yjcFp6	4283106
pdhRp2	122034
putPp3	1079185
yqgBp4	3086182
yhaHp8	3252263
pspAp	1368038
arpAp9	4222691
ydgJp6	1704399
iscAp6	2659962
yjhBp7	4503882
ldtCp	1170417
pdhRp	122034
dmlAp4	1881712
yeaNp4	1875463
torTp2	1056222
ravAp	3931128
iraMp1	1212090
dkgAp	3156571
yjgAp8	4458015
dkgBp	229098
aqpZp3	916133
gpmAp3	787670
dnaNp6	3882590
yffOp7	2561993
yqgAp4	3109521
insJp4	3720594
panBp	149630
ynjIp1	1845011
intZp3	2558693
ydcSp7	1511515
bisCp3	3716486
gabDp	2791172
yqhDp	3155302
tyrSp1	1717269
lonp2	458815
mhpTp	375386
rstAp	1682138
bepAp2	2616026
ebgAp	3222551
fadBp	4031013
shiAp	2053566
uspCp2	1979598
xapAp	2524910
pncBp	990414
surAp	
sdaCp	2928035
acrRp	485699
mlrAp	2214840
fumAp	1688440
ycgGp7	1217307
livJp	3599762
rybAp	853064
rcnAp	2185827
yicOp5	3843880
mqsAp2	3168397
yecJp4	1987802
phoQp5	1189940
putAp	1078925
gudPp	
yfcLp5	2444251
yfeCp4	2518375
alrp1	4265589
yghQp6	3132449
mglBp	2240566
cspCp8	1907509
yneJp5	1614780
metRp1	4012855
glyAp	2685574
ampDp5	118681
tusBp7	3475109
yejGp5	2278353
yihVp3	4073661
defp	3433650
ycaMp3	947145
yeiGp6	2243888
galEp3	792177
ompXp2	850419
yacHp5	131466
artPp1	903815
sdaAp	1896809
ygeWp5	3006118
etkp1	1044303
yieHp4	3896657
nupCp	2513009
uspFp	1435641
mdaBp5	3172506
alkBp	2309445
envRp11	3413487
garRp	3272820
adrAp	403687
lntp4	690984
csgCp	
yciIp	1310892
yghDp4	3111307
ybhBp4	807930
dnaKp1	12048
yaiAp	
pqiAp3	1011666
yagGp9	285207
ydjEp5	1853983
yehSp	
glnQp	846631
tesBp	475201
cohEp10	1203088
ydiEp5	1789603
yghJp5	3119259
srmBp4	2712876
zupTp	3182433
yihLp5	4060423
rfcp8	2107234
grcAp2	2716506
iscRp	2662199
slyAp13	1720849
yibNp7	3785056
yeiEp6	2249656
cysDp	2876368
yfeAp6	2517892
yieKp3	3899399
nikRp	3618537
ybcNp5	572319
ybfFp1	712846
yqaEp	2797085
uvrBp2	813462
allBp1	539041
yraRp6	3298923
yraHp5	3287405
zitBp2	784858
yiaTp6	3751960
ybgAp1	738980
yfdPp9	2473572
acnAp2	1335781
cynTp	358773
yiaGp	3719431
hypFp2	2838014
treRp4	4467347
yebVp1	1921745
pepDp3	255737
pheLp	2737579
yggXp	3103993
yegSp7	2168565
yjtDp8	4640838
yhjRp10	3696283
yohCp3	2225679
cspAp1	3719889
ydfAp6	1648457
ycgXp4	1213284
ybeFp6	661510
tpiAp2	4111569
dcuRp	4350565
yagGp7	285350
fadLp	2461205
serAp1	3058456
yhjRp12	3696215
rsmGp	3923756
yajLp2	443748
ycbWp6	1005850
rpsUp1	3210646
osmBp	1343369
adiYp	4338042
xylFp	3731069
rsmDp1	3604352
yiaTp4	3751875
gcdp2	141279
cspDp	922676
nirBp	3493987
rpmHp3	3884065
yacHp3	131307
yjiXp	
ompRp3	3536639
yciUp5	1307352
recAp	2823819
tasp4	2971569
yacLp	134339
yceFp8	1146607
yaaIp3	11913
lacZp4	366377
ydbDp	1475066
serUp	2043562
yqeFp8	2985701
rhlEp5	830783
ompNp4	1436984
dadAp2	1237525
rpsLp	3474621
acrBp	484685
rpoHp6	3600813
miaAp1	4399052
shiAp11	2053534
waaYp	3801136
accBp2	3405172
mcrAp8	1210319
yedYp4	2039286
yihFp1	4044175
emrYp1	2482334
prfCp2	4609344
yhjDp5	3673330
ribBp	3184718
ftsLp1	90688
modAp2	795062
ydiMp5	1770926
rpoHp5	3600849
hemAp1	1263676
citTp6	646603
zipAp9	2531407
yegIp9	2151076
fliAp2	2001808
ykgBp7	318484
yceOp8	1119623
zwfp	1936376
nlpIp2	3309040
rcnBp	2186884
fhuEp	1161647
tqsAp	1673890
yqeKp9	2990383
yjjYp6	4640358
opgBp7	4599494
yagGp8	285353
ispGp1	2641880
yaiPp5	383985
ligAp	2530201
fecIp	4518282
yfbLp3	2385760
ygiSp4	3167731
gluQp1	160143
insFp5	1095155
galEp2	792086
nudEp9	3526329
glgBp	3573657
rplJp	4179623
pqiAp1	1011666
speBp	3083946
appCp2	1037710
lpcAp1	243468
kefFp2	47080
insGp6	4503549
ldrBp5	1270012
rcsDp	2313452
yqeFp1	2985624
ygiQp1	3161310
msyBp	1114213
fecEp3	4511530
ycbJp	971672
clcAp10	175052
wcaMp1	2115934
yhjAp	3669261
ydgDp7	1671957
rsuAp2	2280545
ohsCp	2700518
ynjHp2	1842188
nagBp	703708
dfpp	3812703
ybeQp12	676611
hyaAp	1031984
astCp1	1832013
yaeQp6	214195
yhhIp6	3624173
nadEp	1822302
mmuPp2	275315
pykFp2	1755600
lpp	1757383
yiiFp7	4079597
kupp2	3931181
yceJp	1119071
yiiEp5	4079180
yciGp	1316092
rdgBp	3096620
ycbWp4	1005890
yfaZp5	2364317
ybdJp5	606264
aaeRp9	3389383
fepBp	624727
aspAp	4368432
entDp2	610141
cysEp	3782681
yceFp9	1146749
ryjAp	4278066
ycgXp5	1213212
dcrBp8	3609913
waaUp9	3799398
ahpCp1	638921
dsbGp	638800
sohAp	3276972
uvrAp	4273936
emrDp	3853845
yijFp5	4137864
relAp4	2914318
gyrBp	3880150
ytfKp1	4439511
yihQp6	4069433
lysCp2	4233616
glgXp3	3571419
polAp	4046940
yiaUp9	3751975
kbaZp	3278866
ycgLp	1227609
sohBp1	1329284
ydcRp	1509978
aaeXp	3389430
yfjXp2	2775888
glnKp	472556
impp1	57156
wzap2	2137193
rhsBp10	3619113
ycaLp6	960255
nudJp6	1194437
yphBp3	2674788
