Experiment	sample_id	study	project_id	condition_id	rep_id	contact	creator	run_date	Strain Description	Strain	Base Media	Carbon Source (g/L)	Nitrogen Source (g/L)	Electron Acceptor	Trace Element Mixture	Supplement	Temperature (C)	pH	Antibiotic for selection	Culture Type	Growth Rate (1/hr)	Evolved Sample	Isolate Type	Sequencing Machine	Additional Details	Biological Replicates	DOI	GEO	Published	SRX	Run	LibraryLayout	Platform
ecoli_00023	oxidative__delsoxr_pq__1	Oxidative	oxidative	delsoxr_pq	1	Sangwoo Seo	Sangwoo Seo	9/4/14	Escherichia coli K-12 MG1655 del_soxR	MG1655	M9	glucose(2)	NH4Cl(1)	O2		PQ (250uM)	37	7	Kanamycin (50 ug/mL)	Batch	0	No		MiSeq		2	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	1	SRX871632	SRR1796602	PAIRED	ILLUMINA
ecoli_00024	oxidative__delsoxr_pq__2	Oxidative	oxidative	delsoxr_pq	2	Sangwoo Seo	Sangwoo Seo	9/4/14	Escherichia coli K-12 MG1655 del_soxR	MG1655	M9	glucose(2)	NH4Cl(1)	O2		PQ (250uM)	37	7	Kanamycin (50 ug/mL)	Batch	0	No		MiSeq		2	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	1	SRX871633	SRR1796603	PAIRED	ILLUMINA
ecoli_00025	oxidative__delsoxs_pq__1	Oxidative	oxidative	delsoxs_pq	1	Sangwoo Seo	Sangwoo Seo	9/18/14	Escherichia coli K-12 MG1655 del_soxS	MG1655	M9	glucose(2)	NH4Cl(1)	O2		PQ (250uM)	37	7	Kanamycin (50 ug/mL)	Batch	0	No		MiSeq		2	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	1	SRX871634	SRR1796604	PAIRED	ILLUMINA
ecoli_00026	oxidative__delsoxs_pq__2	Oxidative	oxidative	delsoxs_pq	2	Sangwoo Seo	Sangwoo Seo	9/18/14	Escherichia coli K-12 MG1655 del_soxS	MG1655	M9	glucose(2)	NH4Cl(1)	O2		PQ (250uM)	37	7	Kanamycin (50 ug/mL)	Batch	0	No		MiSeq		2	doi.org/10.1016/j.celrep.2015.07.043	GSE65711	1	SRX871635	SRR1796605	PAIRED	ILLUMINA
ecoli_00027	nac_ntrc__wt_csn__1	Nac/NtrC	nac_ntrc	wt_csn	1	Donghyuk Kim	Donghyuk Kim	4/18/13	Escherichia coli K-12 MG1655	MG1655	W2	glucose(2)	cytosine(2)	O2			37	7		Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00028	nac_ntrc__wt_csn__2	Nac/NtrC	nac_ntrc	wt_csn	2	Donghyuk Kim	Donghyuk Kim	4/18/13	Escherichia coli K-12 MG1655	MG1655	W2	glucose(2)	cytosine(2)	O2			37	7		Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00029	nac_ntrc__wt_cytd__1	Nac/NtrC	nac_ntrc	wt_cytd	1	Donghyuk Kim	Donghyuk Kim	4/17/13	Escherichia coli K-12 MG1655	MG1655	W2	glucose(2)	cytidine(2)	O2			37	7		Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00030	nac_ntrc__wt_cytd__2	Nac/NtrC	nac_ntrc	wt_cytd	2	Donghyuk Kim	Donghyuk Kim	4/17/13	Escherichia coli K-12 MG1655	MG1655	W2	glucose(2)	cytidine(2)	O2			37	7		Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00031	nac_ntrc__wt_gln__1	Nac/NtrC	nac_ntrc	wt_gln	1	Donghyuk Kim	Donghyuk Kim	4/17/13	Escherichia coli K-12 MG1655	MG1655	W2	glucose(2)	glutamine(2)	O2			37	7		Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00032	nac_ntrc__wt_gln__2	Nac/NtrC	nac_ntrc	wt_gln	2	Donghyuk Kim	Donghyuk Kim	4/17/13	Escherichia coli K-12 MG1655	MG1655	W2	glucose(2)	glutamine(2)	O2			37	7		Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00033	nac_ntrc__bw_delnac_csn__1	Nac/NtrC	nac_ntrc	bw_delnac_csn	1	Donghyuk Kim	Donghyuk Kim	2/16/16	Escherichia coli K-12 BW25113 del_nac	BW25113	W2	glucose(2)	cytosine(2)	O2			37	7	Kanamycin	Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00034	nac_ntrc__bw_delnac_csn__2	Nac/NtrC	nac_ntrc	bw_delnac_csn	2	Donghyuk Kim	Donghyuk Kim	2/16/16	Escherichia coli K-12 BW25113 del_nac	BW25113	W2	glucose(2)	cytosine(2)	O2			37	7	Kanamycin	Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00035	nac_ntrc__bw_delnac_cytd__1	Nac/NtrC	nac_ntrc	bw_delnac_cytd	1	Donghyuk Kim	Donghyuk Kim	2/16/16	Escherichia coli K-12 BW25113 del_nac	BW25113	W2	glucose(2)	cytidine(2)	O2			37	7	Kanamycin	Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00036	nac_ntrc__bw_delnac_cytd__2	Nac/NtrC	nac_ntrc	bw_delnac_cytd	2	Donghyuk Kim	Donghyuk Kim	2/16/16	Escherichia coli K-12 BW25113 del_nac	BW25113	W2	glucose(2)	cytidine(2)	O2			37	7	Kanamycin	Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00037	nac_ntrc__bw_delnac_gln__1	Nac/NtrC	nac_ntrc	bw_delnac_gln	1	Donghyuk Kim	Donghyuk Kim	2/16/16	Escherichia coli K-12 BW25113 del_nac	BW25113	W2	glucose(2)	glutamine(2)	O2			37	7	Kanamycin	Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00038	nac_ntrc__bw_delnac_gln__2	Nac/NtrC	nac_ntrc	bw_delnac_gln	2	Donghyuk Kim	Donghyuk Kim	2/16/16	Escherichia coli K-12 BW25113 del_nac	BW25113	W2	glucose(2)	glutamine(2)	O2			37	7	Kanamycin	Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00039	nac_ntrc__bw_delnac_nh4__1	Nac/NtrC	nac_ntrc	bw_delnac_nh4	1	Donghyuk Kim	Donghyuk Kim	2/16/16	Escherichia coli K-12 BW25113 del_nac	BW25113	M9	glucose(2)	NH4Cl(1)	O2			37	7	Kanamycin	Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00040	nac_ntrc__bw_delnac_nh4__2	Nac/NtrC	nac_ntrc	bw_delnac_nh4	2	Donghyuk Kim	Donghyuk Kim	2/16/16	Escherichia coli K-12 BW25113 del_nac	BW25113	M9	glucose(2)	NH4Cl(1)	O2			37	7	Kanamycin	Batch		No		MiSeq		2	From dissertation: https://escholarship.org/uc/item/0k4709x6		1			PAIRED	ILLUMINA
ecoli_00041	misc__wt_no_te__1	Misc	misc	wt_no_te	1	Sangwoo Seo	Sangwoo Seo	3/13/15	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2			37	7		Batch		No		MiSeq		2		GSE122211	1	SRX4985291	SRR8164476	PAIRED	ILLUMINA
ecoli_00042	misc__wt_no_te__2	Misc	misc	wt_no_te	2	Sangwoo Seo	Sangwoo Seo	3/13/15	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2			37	7		Batch		No		MiSeq		2		GSE122211	1	SRX4985292	SRR8164477	PAIRED	ILLUMINA
ecoli_00043	misc__bw_delcbl__1	Misc	misc	bw_delcbl	1	Sangwoo Seo	Sangwoo Seo	7/29/15	Escherichia coli K-12 BW25113 del_cbl	BW25113	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture		37	7	Kanamycin	Batch		No		MiSeq		2		GSE122211	1	SRX4985293	SRR8164478	PAIRED	ILLUMINA
ecoli_00044	misc__bw_delcbl__2	Misc	misc	bw_delcbl	2	Sangwoo Seo	Sangwoo Seo	7/29/15	Escherichia coli K-12 BW25113 del_cbl	BW25113	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture		37	7	Kanamycin	Batch		No		MiSeq		2		GSE122211	1	SRX4985294	SRR8164479	PAIRED	ILLUMINA
ecoli_00045	misc__bw_delfabr__1	Misc	misc	bw_delfabr	1	Sangwoo Seo	Sangwoo Seo	7/29/15	Escherichia coli K-12 BW25113 del_fabR	BW25113	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture		37	7	Kanamycin	Batch		No		MiSeq		2		GSE122211	1	SRX4985295	SRR8164480	PAIRED	ILLUMINA
ecoli_00046	misc__bw_delfabr__2	Misc	misc	bw_delfabr	2	Sangwoo Seo	Sangwoo Seo	7/29/15	Escherichia coli K-12 BW25113 del_fabR	BW25113	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture		37	7	Kanamycin	Batch		No		MiSeq		2		GSE122211	1	SRX4985296	SRR8164481	PAIRED	ILLUMINA
ecoli_00047	misc__bw_delfadr__1	Misc	misc	bw_delfadr	1	Sangwoo Seo	Sangwoo Seo	7/29/15	Escherichia coli K-12 BW25113 del_fadR	BW25113	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture		37	7	Kanamycin	Batch		No		MiSeq		2		GSE122211	1	SRX4985297	SRR8164482	PAIRED	ILLUMINA
ecoli_00048	misc__bw_delfadr__2	Misc	misc	bw_delfadr	2	Sangwoo Seo	Sangwoo Seo	7/29/15	Escherichia coli K-12 BW25113 del_fadR	BW25113	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture		37	7	Kanamycin	Batch		No		MiSeq		2		GSE122211	1	SRX4985298	SRR8164483	PAIRED	ILLUMINA
ecoli_00049	misc__nitr_031__1	Misc	misc	nitr_031	1	Jose Utrilla	Jose Utrilla	7/24/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(10mM)	O2	sauer trace element mixture		37	7		Chemostat		No		MiSeq	chemostat w/ dilution rate 0.31 h^-1	1		GSE72020	1			PAIRED	ILLUMINA
ecoli_00050	omics__wt_glu__1	Omics	omics	wt_glu	1	Donghyuk Kim	Donghyuk Kim	7/2/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture	glutamate (10mM)	37	7		Batch		No		MiSeq		2		GSE122211	1	SRX4985299	SRR8164484	PAIRED	ILLUMINA
ecoli_00051	omics__wt_glu__2	Omics	omics	wt_glu	2	Donghyuk Kim	Donghyuk Kim	7/2/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture	glutamate (10mM)	37	7		Batch		No		MiSeq		2		GSE122211	1	SRX4985300	SRR8164485	PAIRED	ILLUMINA
ecoli_00052	omics__wt_gly__1	Omics	omics	wt_gly	1	Donghyuk Kim	Donghyuk Kim	7/3/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture	glycine (10mM)	37	7		Batch		No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59760	1	SRX661397	SRR1525108	PAIRED	ILLUMINA
ecoli_00053	omics__wt_gly__2	Omics	omics	wt_gly	2	Donghyuk Kim	Donghyuk Kim	7/3/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture	glycine (10mM)	37	7		Batch		No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59760	1	SRX661398	SRR1525109	PAIRED	ILLUMINA
ecoli_00054	omics__wt_thr__1	Omics	omics	wt_thr	1	Donghyuk Kim	Donghyuk Kim	7/7/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture	threonine (10mM)	37	7		Batch		No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59760	1	SRX661399	SRR1525110	PAIRED	ILLUMINA
ecoli_00055	omics__wt_thr__2	Omics	omics	wt_thr	2	Donghyuk Kim	Donghyuk Kim	7/7/14	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture	threonine (10mM)	37	7		Batch		No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59760	1	SRX661400	SRR1525111	PAIRED	ILLUMINA
ecoli_00056	omics__bw_ac__1	Omics	omics	bw_ac	1	Donghyuk Kim	Donghyuk Kim	1/12/15	Escherichia coli BW25113	BW25113	M9	acetate(3.5)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)	37	7		Batch	0.2	No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59759	1	SRX661387	SRR1525098	PAIRED	ILLUMINA
ecoli_00057	omics__bw_ac__2	Omics	omics	bw_ac	2	Donghyuk Kim	Donghyuk Kim	1/12/15	Escherichia coli BW25113	BW25113	M9	acetate(3.5)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)	37	7		Batch	0.2	No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59759	1	SRX661388	SRR1525099	PAIRED	ILLUMINA
ecoli_00058	omics__bw_fum__1	Omics	omics	bw_fum	1	Donghyuk Kim	Donghyuk Kim	1/12/15	Escherichia coli BW25113	BW25113	M9	fumarate(2.8)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)	37	7		Batch	0.31	No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59759	1	SRX661389	SRR1525100	PAIRED	ILLUMINA
ecoli_00059	omics__bw_fum__2	Omics	omics	bw_fum	2	Donghyuk Kim	Donghyuk Kim	1/12/15	Escherichia coli BW25113	BW25113	M9	fumarate(2.8)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)	37	7		Batch	0.31	No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59759	1	SRX661390	SRR1525101	PAIRED	ILLUMINA
ecoli_00060	omics__bw_glc__1	Omics	omics	bw_glc	1	Donghyuk Kim	Donghyuk Kim	3/12/13	Escherichia coli BW25113	BW25113	M9	glucose(5)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)	37	7		Batch	0.61	No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59759	1	SRX661391	SRR1525102	PAIRED	ILLUMINA
ecoli_00061	omics__bw_glc__2	Omics	omics	bw_glc	2	Donghyuk Kim	Donghyuk Kim	3/12/13	Escherichia coli BW25113	BW25113	M9	glucose(5)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)	37	7		Batch	0.61	No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59759	1	SRX661392	SRR1525103	PAIRED	ILLUMINA
ecoli_00062	omics__bw_pyr__1	Omics	omics	bw_pyr	1	Donghyuk Kim	Donghyuk Kim	1/12/15	Escherichia coli BW25113	BW25113	M9	pyruvate(3.3)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)	37	7		Batch	0.37	No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59759	1	SRX661393	SRR1525104	PAIRED	ILLUMINA
ecoli_00063	omics__bw_pyr__2	Omics	omics	bw_pyr	2	Donghyuk Kim	Donghyuk Kim	1/12/15	Escherichia coli BW25113	BW25113	M9	pyruvate(3.3)	NH4Cl(1)	O2	aebersold trace element mixture	thiamine (1.4mM), FeCl3 (60uM)	37	7		Batch	0.37	No		MiSeq		2	doi.org/10.1038/ncomms13091	GSE59759	1	SRX661394	SRR1525105	PAIRED	ILLUMINA
ecoli_00064	ompr__wt_nacl__1	OmpR	ompr	wt_nacl	1	Sangwoo Seo	Sangwoo Seo	7/29/15	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2		NaCl (0.3M)	37	7		Batch	0	No		MiSeq		2	doi.org/10.1038/s41598-017-02110-7	GSE88980	1	SRX2254712	SRR4435464	PAIRED	ILLUMINA
ecoli_00065	ompr__wt_nacl__2	OmpR	ompr	wt_nacl	2	Sangwoo Seo	Sangwoo Seo	7/29/15	Escherichia coli K-12 MG1655	MG1655	M9	glucose(2)	NH4Cl(1)	O2		NaCl (0.3M)	37	7		Batch	0	No		MiSeq		2	doi.org/10.1038/s41598-017-02110-7	GSE88980	1	SRX2254713	SRR4435465	PAIRED	ILLUMINA
ecoli_00066	ompr__bw_delompr_nacl__1	OmpR	ompr	bw_delompr_nacl	1	Sangwoo Seo	Sangwoo Seo	7/29/15	Escherichia coli K-12 BW25113 del_ompR	MG1655	M9	glucose(2)	NH4Cl(1)	O2		NaCl (0.3M)	37	7	Kanamycin	Batch	0	No		MiSeq		2	doi.org/10.1038/s41598-017-02110-7	GSE88980	1	SRX2254714	SRR4435466	PAIRED	ILLUMINA
ecoli_00067	ompr__bw_delompr_nacl__2	OmpR	ompr	bw_delompr_nacl	2	Sangwoo Seo	Sangwoo Seo	7/29/15	Escherichia coli K-12 BW25113 del_ompR	MG1655	M9	glucose(2)	NH4Cl(1)	O2		NaCl (0.3M)	37	7	Kanamycin	Batch	0	No		MiSeq		2	doi.org/10.1038/s41598-017-02110-7	GSE88980	1	SRX2254715	SRR4435467	PAIRED	ILLUMINA
ecoli_00068	minspan__wt_ade__1	MinSpan	minspan	wt_ade	1	Aarash Bordbar	Haythem Latif	10/1/12	Escherichia coli K-12 MG1655	MG1655	M9	glucose(4)	NH4Cl(1)	O2	sauer trace element mixture	adenine (10mM)	37	7		Batch		No		GAIIX		1	doi.org/10.15252/msb.20145243	GSE48324	1	SRX315215	SRR922263	PAIRED	ILLUMINA
