,0,no change (without binary_idx),add diversity,remove efficiency and add diversity,kinetic,is_new
1.7.2.3-RXN-TRIMETHYLAMINE/Cytochromes-C554-Ox/WATER//TRIMETHYLAMINE-N-O/Cytochromes-C554-Red/PROTON.89. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.3-RXN-TRIMETHYLAMINE/Cytochromes-CL-Ox/WATER//TRIMETHYLAMINE-N-O/Cytochromes-CL-Red/PROTON.85. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.3-RXN-TRIMETHYLAMINE/Oxidized-NapC-proteins/WATER//TRIMETHYLAMINE-N-O/Reduced-NapC-proteins/PROTON.93. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.3-RXN-TRIMETHYLAMINE/Oxidized-cytochromes-c2/WATER//TRIMETHYLAMINE-N-O/Reduced-cytochromes-c2/PROTON.95. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.3-RXN-TRIMETHYLAMINE/Oxidized-cytochromes-c553/WATER//TRIMETHYLAMINE-N-O/Reduced-cytochromes-c553/PROTON.99. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.7.2.3-RXN-TRIMETHYLAMINE/an-oxidized-NrfB-protein/WATER//TRIMETHYLAMINE-N-O/a-reduced-NrfB-protein/PROTON.96. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.1.4-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.12-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.13-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.13-RXN-MET/Ox-thioredoxins-1/WATER//CPD-8989/Red-thioredoxins-1.57. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.13-RXN-MET/Oxidized-CcmG-Proteins/WATER//CPD-8989/Reduced-CcmG-Proteins.65. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.13-RXN-MET/Oxidized-CcmH-Proteins/WATER//CPD-8989/Reduced-CcmH-Proteins.65. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.14-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.14-RXN-MET/Ox-thioredoxins-1/WATER//CPD-8990/Red-thioredoxins-1.57. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.14-RXN-MET/Oxidized-CcmG-Proteins/WATER//CPD-8990/Reduced-CcmG-Proteins.65. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.14-RXN-MET/Oxidized-CcmH-Proteins/WATER//CPD-8990/Reduced-CcmH-Proteins.65. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.4-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
1.8.4.8-RXN (reverse),3.8662440611077047,3.3973601660885087,4.342727686266486e-05,3.979481795990029,False,Old Reactions
1.8.4.8-RXN-3-5-ADP/SO3/Ox-thioredoxins-1/PROTON//PAPS/Red-thioredoxins-1.62. (reverse),2.8286180759582056,3.370414194739971,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
1.8.4.8-RXN-3-5-ADP/SO3/Oxidized-CcmG-Proteins/PROTON//PAPS/Reduced-CcmG-Proteins.70. (reverse),2.9434859090736825,3.3714262354022995,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
1.8.4.8-RXN-3-5-ADP/SO3/Oxidized-CcmH-Proteins/PROTON//PAPS/Reduced-CcmH-Proteins.70. (reverse),2.8064920788276435,3.370414620027217,3.979481795924954,4.342727686266486e-05,False,Old Reactions
1.97.1.4-A-RXN,-4.0,-4.0,-4.0,-4.0,False,New Reactions
1PFRUCTPHOSN-RXN,-4.0,-4.0,-4.0,-4.0,False,New Reactions
1TRANSKETO-RXN,3.2861700868049724,3.6832045267337823,4.154796530685574,4.342727686266486e-05,False,Old Reactions
1TRANSKETO-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,8.999926041474026,False,Old Reactions
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-15318/XYLULOSE-5-PHOSPHATE.56.,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-15318/XYLULOSE-5-PHOSPHATE.56. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-15895/XYLULOSE-5-PHOSPHATE.56.,3.5412118851483023,3.675829608335246,4.342727686266486e-05,9.000000000000043,False,Old Reactions
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-15895/XYLULOSE-5-PHOSPHATE.56. (reverse),-4.0,-4.0,4.342727686266486e-05,5.193127531038411,False,Old Reactions
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-16551/XYLULOSE-5-PHOSPHATE.56.,3.9479965722393717,3.673844381780187,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
1TRANSKETO-RXN-D-SEDOHEPTULOSE-7-P/GAP//CPD-16551/XYLULOSE-5-PHOSPHATE.56. (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
2-DEHYDROPANTOATE-REDUCT-RXN (reverse),2.4666008846113434,2.4665230125509523,2.4665230101871836,2.466523012639484,False,Old Reactions
2-ISOPROPYLMALATESYN-RXN,4.465623730321218,4.465624362076955,4.465624362073537,4.465624362076955,False,Old Reactions
2-METHYLCITRATE-DEHYDRATASE-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2-METHYLCITRATE-SYNTHASE-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN,1.1426271991706578,1.142627199170658,1.142627199170658,1.142627199170658,False,Old Reactions
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN,1.1426271991706578,1.142627199170658,1.142627199170658,1.142627199170658,False,Old Reactions
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN,1.1426271991706578,1.142627199170658,1.142627199170658,1.142627199170658,False,Old Reactions
2-OCTAPRENYLPHENOL-HYDROX-RXN,1.1426271991706578,1.142627199170658,1.142627199170658,1.142627199170658,False,Old Reactions
2-OXOPENT-4-ENOATE-HYDRATASE-RXN (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.1.1.34-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.1.1.63-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.1.1.72-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.1.1.77-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.1.1.79-RXN-CPD-18361/S-ADENOSYLMETHIONINE//CPD-18373/ADENOSYL-HOMO-CYS/PROTON.67.,-4.0,-4.0,-4.0,-4.0,1.9542429919884812,New Reactions
2.1.1.79-RXN-CPD-18362/S-ADENOSYLMETHIONINE//CPD-18406/ADENOSYL-HOMO-CYS/PROTON.67.,-4.0,-4.0,-4.0,-4.0,1.9542429919884812,New Reactions
2.1.1.79-RXN-CPD-18367/S-ADENOSYLMETHIONINE//CPD-18371/ADENOSYL-HOMO-CYS/PROTON.67.,-4.0,-4.0,-4.0,-4.0,1.9542429919884812,New Reactions
2.1.1.79-RXN-CPD-18369/S-ADENOSYLMETHIONINE//CPD-18372/ADENOSYL-HOMO-CYS/PROTON.67.,-4.0,-4.0,-4.0,-4.0,1.9542429919884812,New Reactions
2.1.1.79-RXN-CPD-18392/S-ADENOSYLMETHIONINE//CPD-18405/ADENOSYL-HOMO-CYS/PROTON.67.,-4.0,-4.0,-4.0,-4.0,1.9542429919884812,New Reactions
2.1.1.79-RXN-CPD-18403/S-ADENOSYLMETHIONINE//CPD-18404/ADENOSYL-HOMO-CYS/PROTON.67.,-4.0,-4.0,-4.0,-4.0,1.9542429919884812,New Reactions
2.3.1.118-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.3.1.128-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.3.1.157-RXN,2.8369789253374456,2.8369678629474313,2.8369678629567785,2.8369678629474313,5.036129649262501,Old Reactions
2.3.1.179-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.3.1.180-RXN,-4.0,-4.0,-4.000000292044743,-4.0,False,Old Reactions
2.3.1.41-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.3.1.49-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.4.1.230-RXN,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
2.4.1.230-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
2.4.1.230-RXN-CPD-16569/Pi//ALPHA-GLUCOSE/CPD-448.36.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
2.4.1.230-RXN-CPD-16569/Pi//ALPHA-GLUCOSE/CPD-448.36. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
2.4.1.230-RXN-CPD-16569/Pi//GLC/CPD-448.26.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
2.4.1.230-RXN-CPD-16569/Pi//GLC/CPD-448.26. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
2.4.1.78-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.5.1.19-RXN,4.167925146030303,4.167923302118669,4.167952803698429,4.752248254946084,4.752248254946084,Old Reactions
2.5.1.19-RXN (reverse),-4.0,-4.0,4.342727133337836e-05,4.621233163354105,False,Old Reactions
2.5.1.25-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.5.1.64-RXN,1.4437728862113708,1.443733804733851,1.4437338028692694,1.443733804733851,1.6334694655655795,Old Reactions
2.6.1.57-RXN,-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
2.6.1.57-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,9.000000000000043,False,Old Reactions
2.6.1.57-RXN/HIS.4.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.6.1.82-RXN,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
2.6.1.82-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
2.7.1.121-RXN,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
2.7.1.148-RXN,2.5695232531415146,2.5694237745283255,2.5694237740717623,2.5694237745283255,False,Old Reactions
2.7.10.1-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.7.13.1-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.7.13.2-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.7.3.9-RXN,5.572154107632953,5.271123706297231,4.342727686266486e-05,4.342727686266486e-05,False,New Reactions
2.7.7.1-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.7.7.13-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
2.7.7.60-RXN,2.5695232531415146,2.5694237745283255,2.5694237740717623,2.5694237745283255,3.3941013195660523,Old Reactions
2.7.7.61-RXN,-4.0,-4.0,-4.0,-4.0,False,New Reactions
2.7.8.25-RXN,-4.0,-4.0,-4.0,-4.0,False,New Reactions
2.7.9.3-RXN,-4.0,-4.0,-4.0,-4.0,False,New Reactions
2.8.1.6-RXN,0.4475611176714264,0.4475611176714264,0.25589936673045477,0.25589936673045954,2.3541086313130584,Old Reactions
2.9.1.1-RXN,-4.0,-4.0,-4.0,-4.0,-4.0,New Reactions
2OXOGLUTARATEDEH-RXN,5.20632581942811,5.208998673381828,5.2089907218180596,4.342727686266486e-05,False,Old Reactions
2OXOGLUTDECARB-RXN,-4.0,-4.0,4.342727686266486e-05,5.208990721398468,False,Old Reactions
2PGADEHYDRAT-RXN,5.715100986973831,5.71510081659242,5.715101653431374,9.000000000000043,False,Old Reactions
2PGADEHYDRAT-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,8.999774577202931,False,Old Reactions
2TRANSKETO-RXN,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
2TRANSKETO-RXN (reverse),4.463325724086895,4.46332530068142,4.463340243224187,4.463340244155745,False,Old Reactions
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN-CPD-12996/2-KETO-ISOVALERATE/WATER//2-DEHYDROPANTOATE/CPD-1301.63.,0.6796640595135836,2.1246518830362895,2.468003892852241,8.999995954819083,False,Old Reactions
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN-CPD-12996/2-KETO-ISOVALERATE/WATER//2-DEHYDROPANTOATE/CPD-1301.63. (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN-METHYLENE-THF/2-KETO-ISOVALERATE/WATER//2-DEHYDROPANTOATE/THF.62.,2.4594416446997416,2.202821688249994,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN-METHYLENE-THF/2-KETO-ISOVALERATE/WATER//2-DEHYDROPANTOATE/THF.62. (reverse),-4.0,-4.0,4.342727686266486e-05,8.99999582767057,False,Old Reactions
3-DEHYDROQUINATE-DEHYDRATASE-RXN,4.16798090222052,4.167980091004518,4.168009588727511,9.000000000000043,False,Old Reactions
3-DEHYDROQUINATE-DEHYDRATASE-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,8.999993606074181,False,Old Reactions
3-DEHYDROQUINATE-SYNTHASE-RXN,4.16798090222052,4.167980091004518,4.16795059114495,4.0364292696201876,4.0364292696201876,Old Reactions
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0//POLYMER-INST-TRANS-D2-ENOYL-ACP-C0-H0/WATER.76.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24//2-Hexadecenoyl-ACPs/WATER.60.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8//POLYMER-INST-TRANS-D2-ENOYL-ACP-C4-H8/WATER.76.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxyarachidoyl-ACPs//trans-delta2-arachidoyl-ACPs/WATER.63.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN-R-3-hydroxystearoyl-ACPs//Octadec-2-enoyl-ACPs/WATER.53.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-ISOPROPYLMALDEHYDROG-RXN__3-ISOPROPYLMALDEHYDROG-CPLX,-4.0,-4.0,4.342727370307257e-05,4.465594631399171,4.769953049965905,Old Reactions
3-ISOPROPYLMALDEHYDROG-RXN__G6986-MONOMER,-4.0,-4.0,4.342728002225714e-05,4.342727686266486e-05,0.7781584885646906,Old Reactions
3-ISOPROPYLMALISOM-RXN,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
3-ISOPROPYLMALISOM-RXN (reverse),-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN,1.1426271991706578,1.142627199170658,1.142627199170658,1.142627199170658,False,Old Reactions
3-OXOACYL-ACP-REDUCT-RXN-Beta-hydroxydecanoyl-ACPs/NADP//POLYMER-INST-B-KETOACYL-ACP-C6-H12/NADPH/PROTON.80. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C0-H0/NADP//Acetoacetyl-ACPs/NADPH/PROTON.67. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C12-H24/NADP//3-oxo-palmitoyl-ACPs/NADPH/PROTON.73. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-OXOACYL-ACP-REDUCT-RXN-POLYMER-INST-OH-ACYL-ACP-C4-H8/NADP//3-Oxo-octanoyl-ACPs/NADPH/PROTON.70. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-OXOACYL-ACP-REDUCT-RXN-R-3-hydroxyarachidoyl-ACPs/NADP//3-oxo-arachidoyl-ACPs/NADPH/PROTON.68. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-OXOACYL-ACP-REDUCT-RXN-R-3-hydroxystearoyl-ACPs/NADP//3-oxo-stearoyl-ACPs/NADPH/PROTON.64. (reverse),-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-OXOACYL-ACP-SYNTH-BASE-RXN,-4.0,-4.0,-3.9999997079554537,-4.0,False,Old Reactions
3-OXOACYL-ACP-SYNTH-RXN-MALONYL-ACP/Arachidoyl-ACPs/PROTON//ACP/3-oxo-behenoyl-ACPs/CARBON-DIOXIDE.75.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-OXOACYL-ACP-SYNTH-RXN-MALONYL-ACP/POLYMER-INST-Saturated-Fatty-Acyl-ACPs-C4-H8/PROTON//ACP/POLYMER-INST-B-KETOACYL-ACP-C6-H12/CARBON-DIOXIDE.119.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-OXOACYL-ACP-SYNTH-RXN-MALONYL-ACP/Palmitoyl-ACPs/PROTON//ACP/3-oxo-stearoyl-ACPs/CARBON-DIOXIDE.74.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-OXOACYL-ACP-SYNTH-RXN-MALONYL-ACP/Stearoyl-ACPs/PROTON//ACP/3-oxo-arachidoyl-ACPs/CARBON-DIOXIDE.75.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3-PHOSPHOGLYCERATE-PHOSPHATASE-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.1.3.16-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.1.3.68-RXN[CCO-CYTOSOL]-2-DEOXY-D-GLUCOSE-6-PHOSPHATE/WATER//2-DEOXY-D-GLUCOSE/Pi.71.,-4.0,-4.0,-4.0,-4.0,False,New Reactions
3.1.3.68-RXN[CCO-CYTOSOL]-2-DEOXY-D-GLUCOSE-6-PHOSPHATE/WATER//2-DEOXY-D-GLUCOSE/Pi.71.__G6932-MONOMER,-4.0,-4.0,-4.0,-4.0,4.394959230235342,New Reactions
3.1.3.68-RXN[CCO-PERI-BAC]-2-DEOXY-D-GLUCOSE-6-PHOSPHATE/WATER//2-DEOXY-D-GLUCOSE/Pi.72.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.1.3.74-RXN[CCO-CYTOSOL]-PYRIDOXAL_PHOSPHATE/WATER//PYRIDOXAL/Pi.53.__EG11239-MONOMER,-4.0,-4.0,-4.000000000061717,-4.0,2.082785729237361,Old Reactions
3.1.3.74-RXN[CCO-CYTOSOL]-PYRIDOXAL_PHOSPHATE/WATER//PYRIDOXAL/Pi.53.__EG11470-MONOMER,-4.0,-4.0,-4.000000000246867,-4.0,2.5646661825884443,Old Reactions
3.1.3.74-RXN[CCO-CYTOSOL]-PYRIDOXAL_PHOSPHATE/WATER//PYRIDOXAL/Pi.53.__G6246-MONOMER,-4.0,-4.0,-4.0,-4.0,0.3010517098452264,Old Reactions
3.1.3.74-RXN[CCO-PERI-BAC]-PYRIDOXAL_PHOSPHATE/WATER//PYRIDOXAL/Pi.54.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.1.4.14-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.1.4.14-RXN-Holo-AsbD-Proteins/WATER//Apo-AsbD-Proteins/PANTETHEINE-P/PROTON.65.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.2.1.17-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.2.1.21-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.2.1.21-RXN-Beta-D-glucosides/WATER//Non-Glucosylated-Glucose-Acceptors/ALPHA-GLUCOSE.74.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.2.1.21-RXN-Beta-D-glucosides/WATER//Non-Glucosylated-Glucose-Acceptors/GLC.64.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.2.1.52-RXN,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.2.2.10-RXN-CMP/WATER//CPD-15318/CYTOSINE.30.,-4.0,-4.0,-4.0,-4.0,False,Old Reactions
3.2.2.10-RXN-CMP/WATER//CPD-15895/CYTOSINE.30.,-4.0,-0.39031395874216473,-4.0,-4.0,False,Old Reactions
3.2.2.10-RXN-CMP/WATER//CPD-16551/CYTOSINE.30.,-4.0,-0.6207749350173702,4.342727686266486e-05,-4.0,False,Old Reactions
3.2.2.10-RXN-CMP/WATER//RIBOSE-5P/CYTOSINE.30.,0.11146415158665396,-0.3905092746825453,-0.533725174330364,-4.0,False,Old Reactions
3.2.2.10-RXN-UMP/WATER//CPD-15318/URACIL.28.,-4.0,-4.0,4.342727686266486e-05,4.342727686266486e-05,False,Old Reactions
