# Generated by /Users/albertzhang/devViv/vivarium-ecoli/reconstruction/ecoli/scripts/tf_binding_sites/convert_to_flat.py on Wed Aug 14 12:56:11 2024
"binding_site_id"	"coordinates"	"binding_TFs"	"regulated_TUs_or_genes"
"BS0-7243"	1822369	["CPLX0-7705"]	["TU0-45283", "TU00398"]
"BS0-8902"	2990741	["G7072-MONOMER"]	["TU0-8652", "TU0-13762"]
"BS00265"	3957851	["PD00200", "CPLX0-7715"]	["TU00090", "TU00033", "TU0-45235"]
"BS0-8730"	1420275	["G6680-MONOMER"]	["TU0-13231"]
"BS0-8400"	922760	["CPLX0-226"]	["TU0-6486"]
"BS0-7020"		["CPLX0-7797"]	["TU0-8347"]
"BS0-7477"	1311039	["CPLX0-7639"]	["TU00167"]
"BS0-3732"	1157621	["CPLX0-7705"]	["TU0-1141", "TU0-1142"]
"BS0-1984"	841637	["CPLX0-7639"]	["TU0-2521"]
"BS0-8477"	3784264	["CPLX0-226"]	["TU0-13995"]
"BS0-7160"	1488180	["CPLX0-7797"]	["TU102"]
"BS183"		["PD00288"]	["TU183"]
"BS0-7511"	3100817	["CPLX0-7705"]	["TU0-6569"]
"BS0-4722"	2246946	["CPLX0-7639"]	["TU00015", "TU00014"]
"BS0-3143"	866503	["PHOSPHO-NARL"]	["TU00302"]
"BS241"		["PD00288"]	["TU261"]
"BS0-3303"	703778	["CPLX0-226"]	["TU00043", "TU0-4421"]
"BS0-8899"	2897901	["G7072-MONOMER"]	["TU0-13730"]
"BS0-1"	2303614	["PHOSPHO-NARL"]	["TU363", "TU00305"]
"BS358"	771206	["PHOSPHO-ARCA"]	["TU358"]
"BS00558"	4058196	["PROTEIN-NRIP"]	["TU00027", "TU0-5903", "TU0-5901", "TU00029"]
"BS0-7901"	3455686	["CPLX0-7639"]	["TU0-13913"]
"BS00223"	1333774	["PC00040"]	["TU00077"]
"BS00161"	987182	["PHOSPHO-OMPR"]	["TU00050", "TU0-45229"]
"BS0-7269"	3354444	["CPLX0-226"]	["TU00182", "TU0-45182"]
"BS00066"	4382416	["PHOSPHO-NARL"]	["TU00023", "TU0-45225"]
"BS0-6991"	4105753	["CPLX0-7748"]	["TU0-45281", "TU0-3", "TU0-1041"]
"BS0-1585"	485770	["PD00365"]	["TU00233"]
"BS746"	3493972	["PC00061"]	["TU00046"]
"BS0-7432"	3639902	["PC00027"]	["TU0-1198", "TU00431"]
"BS0-7528"	1572036	["CPLX0-7705"]	["TU0-45231", "TU369"]
"BS0-7194"		["CPLX0-7797"]	["TU0-45219"]
"BS00667"	432132	["CPLX0-226"]	["TU00450"]
"BS0-8971"	1256363	["EG12386-MONOMER"]	["TU0-13178"]
"BS0-3944"	1696242	["CPLX0-226"]	["TU0-5081"]
"BS0-8973"	2041857	["EG12386-MONOMER"]	["TU0-13470"]
"BS0-8085"	118708	["CPLX0-226"]	["TU0-12812", "TU00237"]
"BS0-8475"	1875630	["G6976-MONOMER"]	["TU0-13404", "TU0-8713"]
"BS00029"	406310	["MONOMER0-162"]	["TU00011"]
"BS00717"	2339545	["PD03695"]	["TU00140"]
"BS0-8861"	231023	["G7072-MONOMER"]	["EG11650", "TU0-8541"]
"BS0-6960"	1688842	["CPLX0-226"]	["TU00104", "TU0-42499"]
"BS0-8529"	830668	["EG12406-MONOMER"]	["TU0-13050", "TU0-8500"]
"BS0-6997"	3270642	["CPLX0-7705"]	["TU543"]
"BS0-4981"	3742622	["PC00027"]	["TU368"]
"BS826"	2255170	["MONOMER0-155"]	["TU861"]
"BS0-6641"	2153952	["PHOSPHO-BAER"]	["TU0-7881"]
"BS0-8810"		["PD02198"]	["TU0-42483"]
"BS0-7660"	3088012	["MONOMER-52"]	["TU0-7081"]
"BS00754"	3485894	["CPLX0-226"]	["TU00478", "TU00119"]
"BS0-1041"	816788	["CPLX0-7797"]	["TU00300"]
"BS00450"	1936430	["PD00365"]	["TU00209"]
"BS0-7978"	1121523	["PD00266"]	["TU0-13128"]
"BS0-8323"		["PHOSPHO-PHOB"]	["TU0-13966"]
"BS0-8147"	4246446	["PHOSPHO-CREB"]	["TU00038"]
"BS0-2346"	771116	["CPLX0-7797"]	["TU0-3161", "TU00100", "TU358", "TU0-3162"]
"BS0-7548"	1277889	["CPLX0-7705"]	["TU00045"]
"BS0-2182"	1453750	["PC00027"]	["TU4", "TU5"]
"BS0-7852"	4605799	["PD00214"]	["TU0-7701"]
"BS0-8179"	652129	["PHOSPHO-DPIA"]	["TU0-12999", "TU0-13000", "TU0-14750"]
"BS0-8356"	1257874	["PD00214"]	["TU0-1782"]
"BS0-8533"	3719746	["PD00288"]	["TU0-1581"]
"BS0-7763"	1447308	["CPLX0-7756"]	["TU0-42548"]
"BS00473"	1547248	["PHOSPHO-NARL"]	["TU00157"]
"BS00241"	3888352	["CPLX0-226"]	["TU00085", "TU0-42514"]
"BS0-10869"	612522	["CPLX0-7639"]	["TU0-198711"]
"BS0-7812"	4097671	["CPLX-124"]	["TU00063", "TU0-45202"]
"BS0-8793"	3401320	["MONOMER0-4536"]	["TU0-14388", "TU00304"]
"BS0-7608"	782004	["CPLX0-7975"]	["TU0-13037"]
"BS0-8761"	4012842	["PD00214"]	["TU0-8221"]
"BS0-7330"	2908880	["PC00061"]	["TU0-14414", "TU0-14413", "TU0-14412"]
"BS0-7182"	3539966	["CPLX0-7797"]	["TU00269"]
"BS0-7189"		["CPLX0-7797"]	["TU-8399"]
"BS0-7333"	900654	["CPLX0-228"]	["TU0-8161"]
"BS0-8130"	1103604	["CPLX0-7748"]	["TU00390", "TU0-45224"]
"BS0-7386"	2800642	["CPLX0-8061"]	["TU0-1022"]
"BS0-3261"	1488182	["MONOMER0-160"]	["TU102"]
"BS0-8395"	1451473	["G6706-MONOMER"]	["TU0-42552"]
"BS0-8673"	3303382	["PD00406"]	["TU0-13879"]
"BS0-8123"	1905388	["CPLX0-7639"]	["TU0-13420"]
"BS0-1483"	1556544	["PD00353"]	["TU0-1762", "TU0-1761"]
"BS00733"	1311079	["CPLX0-7639"]	["TU00167"]
"BS00313"	710794	["CPLX0-226"]	["TU0-1283", "TU00121"]
"BS00336"		["CPLX0-226"]	["TU00375"]
"BS0-8769"	2250780	["PD00406"]	["TU00189"]
"BS0-8752"	3664850	["EG12243-MONOMER"]	["TU0-14719"]
"BS0-3521"	3606398	["CPLX0-7678"]	["TU0-4623"]
"BS0-7472"	2493514	["PHOSPHO-EVGA"]	["TU0-7745"]
"BS0-8224"	2884399	["PD00519"]	["TU0-13725"]
"BS0-8705"		["PHOSPHO-PHOP"]	["TU0-8339"]
"BS326"	3777318	["EG11962-MONOMER"]	["TU164"]
"BS157"	3536700	["PC00027"]	["TU161"]
"BS00642"	932272	["PD00353"]	["TU00181"]
"BS0-7232"		["PD00288"]	["TU00081"]
"BS0-7607"	3354401	["MONOMER0-155"]	["TU00182", "TU0-45182"]
"BS0-7034"	987160	["CPLX0-7748"]	["TU00050", "TU0-45229"]
"BS0-7618"	468287	["PD00365"]	["TU0-12936"]
"BS0-7886"	890852	["PD04418"]	["TU0-2101"]
"BS0-8834"	3333507	["G7072-MONOMER"]	["EG50001", "TU0-13885"]
"BS00534"	1299267	["PD00353"]	["TU00222"]
"BS0-7461"	1230406	["CPLX0-8563"]	["TU581"]
"BS0-8831"	3536761	["G7072-MONOMER"]	["EG10672", "TU0-13931"]
"BS0-7666"	3088148	["MONOMER-52"]	["TU0-7081"]
"BS00420"	849048	["PC00027"]	["TU0-45200", "TU00176"]
"BS0-8920"	4148602	["G7072-MONOMER"]	["TU0-14093"]
"BS0-7558"		["PHOSPHO-DPIA"]	["TU0-8479"]
"BS0-8178"	652087	["PHOSPHO-DPIA"]	["TU0-12999", "TU0-13000", "TU0-14750"]
"BS0-5462"	366338	["PD00288"]	["TU00036"]
"BS0-4861"	4551358	["EG20249-MONOMER"]	["TU0-4961", "TU101"]
"BS0-5963"	3088194	["PD00261"]	["TU0-7081"]
"BS0-8800"		["EG11849-MONOMER"]	["TU0-42682"]
"BS0-7564"	3656907	["MONOMER0-155"]	["TU0-45242", "TU00282"]
"BS0-8527"	3246424	["EG20249-MONOMER"]	["TU0-42612"]
"BS0-8134"	2587452	["CPLX0-7748"]	["TU0-14793"]
"BS0-7807"	1492290	["CPLX0-7705"]	["TU0-14627"]
"BS0-7691"	1078912	["PUTA-MONOMER"]	["TU355"]
"BS0-2186"	2718618	["PD00214"]	["TU0-3104"]
"BS00157"	987268	["PC00027"]	["TU00050", "TU0-45229"]
"BS0-7467"	29367	["PD01352"]	["TU00110"]
"BS0-6935"	485720	["EG12116-MONOMER"]	["TU0-8325", "TU00233"]
"BS0-4064"	3305872	["CPLX-125"]	["TU00093"]
"BS0-8854"	3267270	["G7072-MONOMER"]	["EG10989", "TU0-13870"]
"BS0-7234"	3354420	["PC00027"]	["TU00182", "TU0-45182"]
"BS00778"	1031779	["CPLX0-7705"]	["TU00509"]
"BS0-7766"	4287608	["CPLX0-7756"]	["TU00199"]
"BS0-8836"	1910270	["G7072-MONOMER"]	["TU0-8841", "TU0-8715"]
"BS163"	385003	["CPLX0-2781"]	["TU302"]
"BS69"	4287621	["PHOSPHO-NARL"]	["TU00199"]
"BS0-8340"	1360958	["EG12431-MONOMER"]	["TU0-13209", "TU0-13210"]
"BS0-7183"	3540040	["CPLX0-7639"]	["TU00269"]
"BS0-7772"	2856946	["CPLX0-7756"]	["TU-8443"]
"BS0-8643"	4568768	["CPLX0-8563"]	["TU0-14203"]
"BS0-7249"	1330750	["CPLX0-7705"]	["TU0-2501", "TU0-2504"]
"BS0-8010"	1572304	["EG12243-MONOMER"]	["TU0-45231", "TU369"]
"BS0-6621"	1601470	["CPLX0-8043"]	["TU0-7861"]
"BS0-8623"	379932	["CPLX0-8234"]	["TU0-12902"]
"BS0-6044"	3244962	["CPLX0-226"]	["TU0-5021", "TU00150"]
"BS0-8942"	684446	["CPLX0-226"]	["TU0-13014"]
"BS0-4127"	4494514	["PD03585"]	["TU0-4682", "TU0-4681"]
"BS0-1961"	3911552	["PC00027"]	["TU00202", "TU0-14692", "TU0-45214", "TU0-14693", "TU0-45216", "TU0-45215"]
"BS0-2403"	1330851	["CPLX0-7705"]	["TU0-2501"]
"BS126"	34162	["CPLX0-7797"]	["TU141"]
"BS0-2923"	638948	["CPLX0-7796"]	["TU00074"]
"BS00104"	365932	["PD00763"]	["TU00036"]
"BS190"	4542897	["PD00353"]	["TU182"]
"BS0-4362"	2832307	["EG12108-MONOMER"]	["TU0-4441", "TU0-14258"]
"BS0-2601"	1287763	["CPLX0-7705"]	["TU00511"]
"BS0-7179"	4274002	["PHOSPHO-ARCA"]	["TU00065", "TU0-6564", "TU00069", "TU0-6563"]
"BS0-7159"		["PD00288"]	["TU0-8479"]
"BS0-8421"	89603	["EG11084-MONOMER"]	["TU0-941"]
"BS0-2966"	4132562	["CPLX0-7796"]	["TU00218"]
"BS0-2846"	4611164	["CPLX0-226"]	["TU0-45234", "TU0-1981"]
"BS0-10555"		["PD00288"]	["TU00235"]
"BS82"	2512920	["CPLX0-226"]	["TU00147"]
"BS00719"	1699218	["PD00361"]	["TU00187"]
"BS0-7967"	3128202	["PC00061"]	["TU0-1963"]
"BS0-10663"	2473481	["G7518-MONOMER"]	["TU0-13604", "TU0-13603"]
"BS0-8487"	1050718	["G7947-MONOMER"]	["TU0-13108"]
"BS0-8092"		["CPLX0-226"]	["TU0-13640"]
"BS00536"		["PD00353"]	["TU00224"]
"BS0-8476"	1875584	["G6976-MONOMER"]	["TU0-13404", "TU0-8713"]
"BS0-8282"	3790136	["PHOSPHO-BASR"]	["TU0-42498"]
"BS623"	4348873	["PHOSPHO-NARL"]	["TU00468"]
"BS753"	1668588	["PD01896"]	["TU0-45193", "TU789", "TU790"]
"BS00350"	2543623	["CPLX0-2781"]	["TU00144"]
"BS0-8699"	3340162	["PD00365"]	["TU0-13889"]
"BS0-8495"	2434064	["PD01520"]	["TU00232"]
"BS0-6958"	612666	["CPLX0-7639"]	["TU00270", "TU00163"]
"BS-7101"	2825750	["CPLX0-226"]	["TU00133"]
"BS0-8441"	2991306	["CPLX0-2781"]	["TU0-13763"]
"BS0-8032"	3657770	["EG12242-MONOMER"]	["TU0-5682"]
"BS0-3803"	4494514	["MONOMER0-1301", "G7891-MONOMER"]	["TU0-4682", "TU0-4681"]
"BS824"	2231755	["CPLX0-7740"]	["TU841"]
"BS115"	1279728	["PHOSPHO-NARL"]	["TU00044"]
"BS0-4662"	3737396	["MONOMER0-158"]	["TU00137"]
"BS0-22"	4348741	["PHOSPHO-NARL"]	["TU00468"]
"BS0-3022"		["PD00288"]	["TU0-45197", "TU0-3982"]
"BS49"	1547295	["PHOSPHO-NARL"]	["TU00157"]
"BS00089"	2352492	["CPLX0-226"]	["TU00216", "TU00030"]
"BS0-6582"	1572136	["CPLX0-226"]	["TU0-45231", "TU369"]
"BS0-1022"	940856	["PC00027"]	["TU0-1122"]
"BS0-8233"	3658354	["EG11356-MONOMER"]	["TU0-5682"]
"BS0-8763"	2741194	["PD04132"]	["TU00008"]
"BS0-7141"		["EG12123-MONOMER"]	["TU183"]
"BS0-8117"	2911389	["CPLX0-841"]	["TU523", "TU522"]
"BS00574"	954606	["PC00027"]	["TU00377"]
"BS0-6988"	1277829	["PHOSPHO-NARL"]	["TU00045"]
"BS0-7594"	4376526	["PHOSPHO-OMPR"]	["TU0-14682"]
"BS00004"	70118	["CPLX-172"]	["TU00214", "TU00003"]
"BS0-8343"	1361094	["EG12431-MONOMER"]	["TU0-13209", "TU0-13210"]
"BS0-10620"	4556916	["MONOMER0-160"]	["TU0-45219", "TU0-14766"]
"BS0-3742"	3906018	["PD00288"]	["TU0-4802", "TU0-42515"]
"BS0-8321"	1628306	["PHOSPHO-PHOB"]	["TU0-13311"]
"BS0-6525"	174952	["PHOSPHO-PHOP"]	["TU0-7806"]
"BS0-7780"	2001813	["CPLX0-7756"]	["TU00471"]
"BS0-4347"	3318576	["CPLX0-228"]	["TU0-8476", "TU0-5501", "TU341"]
"BS0-8299"	1100230	["CPLX0-7740"]	["TU0-13121"]
"BS0-8259"	4166441	["MONOMER0-155"]	["TU0-1182", "TU0-45275"]
"BS0-7554"	3730994	["CPLX0-7705"]	["TU00374"]
"BS0-6999"	1103342	["CPLX0-7748"]	["TU00392", "TU0-45257"]
"BS0-8322"	595519	["PHOSPHO-PHOB"]	["TU0-1821", "TU0-1822"]
"BS0-7238"	2914338	["CPLX0-226"]	["TU0-14269"]
"BS0-8959"	4424698	["EG12386-MONOMER"]	["EG10905", "TU0-8613"]
"BS00735"	1058006	["PHOSPHO-TORR"]	["TU00212"]
"BS0-2921"	3086574	["CPLX0-7796"]	["TU0-45188", "TU0-1783"]
"BS0-8862"	246149	["G7072-MONOMER"]	["G6110", "G6109", "TU0-12848"]
"BS0-7600"	1298478	["PD00353"]	["TU00198", "TU0-45181"]
"BS00789"	3982289	["CPLX0-7705"]	["TU00503"]
"BS0-3342"	1292968	["CPLX0-7705"]	["TU00139"]
"BS0-8025"	1572304	["EG12242-MONOMER"]	["TU0-45231", "TU369"]
"BS0-8563"		["G6247-MONOMER"]	["TU0-13869"]
"BS0-7883"	2884365	["PD00288"]	["TU0-13725"]
"BS0-7779"	932379	["CPLX0-7756"]	["TU00181"]
"BS0-7298"		["PD00288"]	["TU0-14377"]
"BS00502"	1936430	["PD04418"]	["TU00209"]
"BS0-7166"	2303689	["G7326-MONOMER"]	["TU0-8484"]
"BS0-6953"	4215372	["CPLX0-226"]	["TU00001"]
"BS00058"	940796	["PHOSPHO-NARL"]	["TU00019"]
"BS0-7674"	2545689	["CPLX0-7745"]	["TU0-14715", "TU0-14714", "TU0-45211"]
"BS0-6954"	624564	["CPLX0-226"]	["TU00166"]
"BS543"	1165869	["CPLX0-7705"]	["TU00158"]
"BS00561"	3577644	["PD03585"]	["TU0-42512", "TU00228"]
"BS0-8274"	4635372	["PD04418"]	["TU0-7804"]
"BS0-8671"	3303382	["PD04418"]	["TU0-13879"]
"BS0-6081"	2716657	["CPLX0-7748"]	["TU0-6515"]
"BS00088"	3561990	["PD03576"]	["TU00031"]
"BS0-3733"	2788914	["EG12386-MONOMER"]	["TU0-4001"]
"BS0-1682"	4240269	["PHOSPHO-PHOB"]	["TU0-2021"]
"BS00728"	4100711	["PC00027"]	["TU00064"]
"BS0-7150"	612544	["CPLX0-7797"]	["TU00270"]
"BS00655"	3073894	["CPLX0-226"]	["TU00443", "TU0-45273", "TU0-45274", "TU0-8082"]
"BS0-8258"	3244804	["PD03270"]	["TU0-5021"]
"BS00718"	2339565	["PD03695"]	["TU00140"]
"BS0-7531"	3128140	["CPLX0-7705"]	["TU0-1963"]
"BS0-2422"	2313044	["PD00365"]	["TU0-2644", "TU0-45164"]
"BS0-8523"		["G6664-MONOMER"]	["TU0-13218"]
"BS00267"	3552954	["CPLX0-226"]	["TU00091"]
"BS0-3814"	3546390	["PD03585"]	["TU00229", "TU0-4928", "TU0-4927"]
"BS0-7158"	4362120	["CPLX0-7797"]	["TU00118"]
"BS0-8962"	491060	["EG12386-MONOMER"]	["EG10765", "EG10051", "TU0-12946"]
"BS625"	4348763	["PHOSPHO-NARL"]	["TU00468"]
"BS0-10768"		["MONOMER0-46"]	["TU0-1188"]
"BS0-6966"	121972	["CPLX0-226"]	["TU0-45222", "TU00522"]
"BS00271"	3305936	["MONOMER0-162"]	["TU00093"]
"BS0-7635"	1930774	["PC00010"]	["TU0-13438"]
"BS0-1148"	3927095	["G7072-MONOMER"]	["TU0-14263", "TU00113", "TU0-14262"]
"BS00153"	1020230	["CPLX0-226"]	["TU00048"]
"BS759"	1335740	["CPLX0-226"]	["TU794"]
"BS0-8759"	2071291	["PD00214"]	["TU0-2701"]
"BS0-7647"	2545721	["CPLX0-7745"]	["TU0-14715", "TU0-14714", "TU0-45211"]
"BS00744"	1936428	["PD00406"]	["TU00209"]
"BS0-10872"	4056532	["CPLX0-7639"]	["TU0-198713"]
"BS0-8619"	3931200	["CPLX0-7797"]	["TU0-14031"]
"BS0-8290"	1688550	["CPLX0-226"]	["TU00104", "TU0-6425", "TU0-42499"]
"BS0-8139"	3867368	["CPLX0-7748"]	["TU0-6003"]
"BS0-8042"	1592500	["EG10442-MONOMER"]	["TU00284"]
"BS0-7771"	2856829	["CPLX0-7756"]	["TU-8443"]
"BS0-7462"	1230390	["CPLX0-8563"]	["TU581"]
"BS0-7567"	2041330	["CPLX0-7680"]	["TU0-8330"]
"BS00400"	624731	["CPLX0-7639"]	["TU00166"]
"BS0-8309"	794710	["PD00365"]	["TU0-13041"]
"BS0-8181"	652028	["CPLX0-7797"]	["TU0-13000", "TU0-14750"]
"BS00393"		["CPLX0-7650"]	["TU00128"]
"BS0-7736"	250874	["PC00010"]	["TU0-45217", "TU0-12853"]
"BS0-7672"	3656918	["EG12242-MONOMER"]	["TU0-45242", "TU00282"]
"BS0-7927"		["CPLX0-7852"]	["TU00096"]
"BS0-8229"	84024	["PD00519"]	["TU0-42477"]
"BS0-7616"	2313124	["EG12116-MONOMER"]	["TU0-2644", "TU0-45164"]
"BS0-6981"	954841	["PHOSPHO-NARL"]	["TU00377", "TU00379"]
"BS0-7563"	3656888	["MONOMER0-155"]	["TU0-45242", "TU00282"]
"BS0-7684"	3244840	["CPLX0-226"]	["TU00150"]
"BS0-4062"	1323128	["CPLX-125"]	["TU0-42510", "TU00067"]
"BS0-8331"	1391960	["G6664-MONOMER"]	["TU0-13216", "TU0-42524"]
"BS121"	42256	["CPLX0-226"]	["TU142"]
"BS0-1125"	963445	["PC00027"]	["TU0-45280", "TU00175"]
"BS0-7788"	4474082	["CPLX0-7756"]	["TU0-14171"]
"BS0-8172"	2719850	["CPLX0-226"]	["TU0-42472"]
"BS0-5281"	2753496	["CPLX0-7748"]	["TU0-3423"]
"BS0-7526"	1572131	["CPLX0-7705"]	["TU0-45231", "TU369"]
"BS160"	4341824	["PD00208", "MONOMER0-161"]	["TU00040", "TU00131"]
"BS0-7230"	3058486	["G7072-MONOMER"]	["TU00224"]
"BS0-3929"	4551464	["PD03270"]	["TU101"]
"BS0-7501"	4246580	["CPLX0-7705"]	["TU00038"]
"BS0-9008"	1233179	["PHOSPHO-ARCA"]	["TU0-13172"]
"BS0-8180"	652028	["CPLX0-226"]	["TU0-13000", "TU0-14750"]
"BS0-7524"	3667625	["CPLX0-7705"]	["TU0-45268", "TU586"]
"BS841"	1084834	["PHOSPHO-PHOB"]	["TU864"]
